episode,total_done,total_col,step,steps
176.0,140.2,0.5,103.3,177
177.0,141.15,0.5,116.65,178
178.0,142.05,0.7,131.2,179
179.0,143.0,2.15,119.15,180
180.0,143.95,0.75,92.9,181
181.0,144.85,0.75,175.35,182
182.0,145.8,1.05,147.45,183
183.0,146.7,1.35,122.7,184
184.0,147.7,0.4,115.95,185
185.0,148.65,0.2,113.75,186
186.0,149.65,0.55,94.95,187
187.0,150.45,0.9,143.85,188
188.0,151.45,2.85,134.75,189
189.0,152.45,1.25,120.45,190
190.0,153.35,0.85,113.75,191
191.0,154.3,0.85,123.2,192
192.0,155.2,0.35,134.45,193
193.0,156.1,0.6,128.25,194
194.0,157.05,1.05,145.9,195
195.0,157.95,0.6,127.3,196
196.0,158.8,1.35,144.95,197
197.0,159.65,0.45,144.9,198
198.0,160.6,1.35,135.65,199
199.0,161.45,1.25,179.45,200
200.0,162.4,1.85,122.4,201
201.0,163.3,1.7,151.25,202
202.0,164.2,0.8,174.85,203
203.0,165.15,0.6,126.35,204
204.0,166.0,1.7,143.6,205
205.0,166.95,0.2,100.7,206
206.0,167.9,1.05,135.8,207
207.0,168.75,0.05,134.3,208
208.0,169.55,0.55,184.0,209
209.0,170.55,2.0,125.25,210
210.0,171.5,0.3,138.9,211
211.0,172.35,0.35,196.2,212
212.0,173.15,1.65,214.1,213
213.0,174.05,0.3,174.55,214
214.0,174.75,0.6,205.5,215
215.0,175.6,2.15,171.15,216
216.0,176.45,0.3,185.85,217
217.0,177.2,0.2,220.65,218
218.0,178.05,0.05,167.7,219
219.0,178.8,0.6,200.4,220
220.0,179.45,0.65,228.15,221
221.0,180.3,0.55,168.7,222
222.0,181.1,0.3,215.95,223
223.0,181.9,0.35,179.4,224
224.0,182.6,0.35,210.3,225
225.0,183.45,0.6,191.4,226
226.0,184.25,0.7,219.7,227
227.0,185.0,0.05,170.0,228
228.0,185.9,0.25,208.7,229
229.0,186.75,0.7,175.15,230
230.0,187.6,0.85,196.1,231
231.0,188.35,0.0,196.45,232
232.0,189.1,0.7,208.85,233
233.0,190.0,0.2,223.4,234
234.0,190.65,0.1,206.95,235
235.0,191.5,0.9,199.05,236
236.0,192.25,0.05,216.05,237
237.0,193.05,0.0,200.6,238
238.0,193.75,3.8,242.85,239
