episode,tot_done,reward,steps
0.0,0.0,-54.55555555555556,1
1.0,0.0,-63.44444444444444,2
2.0,0.0,-51.666666666666664,3
3.0,0.0,-56.888888888888886,4
4.0,0.0,-52.0,5
5.0,0.0,-61.22222222222222,6
6.0,0.0,-56.44444444444444,7
7.0,0.0,-41.666666666666664,8
8.0,0.0,-54.44444444444444,9
9.0,0.0,-50.44444444444444,10
10.0,0.0,-52.22222222222222,11
11.0,0.0,-47.888888888888886,12
12.0,0.0,-49.888888888888886,13
13.0,0.0,-56.888888888888886,14
14.0,0.0,-48.0,15
15.0,0.0,-52.22222222222222,16
16.0,0.0,-36.333333333333336,17
17.0,0.0,-52.0,18
18.0,0.0,-51.77777777777778,19
19.0,0.0,-62.888888888888886,20
20.0,0.0,-32.0,21
21.0,0.0,-61.666666666666664,22
22.0,0.0,-53.77777777777778,23
23.0,0.0,-27.22222222222222,24
24.0,0.0,-50.77777777777778,25
25.0,0.0,-39.22222222222222,26
26.0,0.0,-51.22222222222222,27
27.0,0.0,-30.88888888888889,28
28.0,0.0,-51.111111111111114,29
29.0,0.0,-46.888888888888886,30
30.0,0.0,-56.111111111111114,31
31.0,0.0,-51.0,32
32.0,0.0,-38.55555555555556,33
33.0,0.0,-40.22222222222222,34
34.0,0.0,-52.111111111111114,35
35.0,0.0,-45.0,36
36.0,0.0,-41.77777777777778,37
37.0,0.0,-35.77777777777778,38
38.0,0.0,-54.77777777777778,39
39.0,0.0,-29.11111111111111,40
40.0,0.0,-29.22222222222222,41
41.0,0.0,-53.0,42
42.0,0.0,-58.77777777777778,43
43.0,0.0,-28.333333333333332,44
44.0,0.0,-54.44444444444444,45
45.0,0.0,-36.77777777777778,46
46.0,0.0,-50.22222222222222,47
47.0,0.0,-40.0,48
48.0,0.0,-37.0,49
49.0,0.0,-44.888888888888886,50
50.0,0.0,-38.333333333333336,51
51.0,0.0,-40.333333333333336,52
52.0,0.0,-49.55555555555556,53
53.0,0.0,-50.666666666666664,54
54.0,0.0,-48.0,55
55.0,0.0,-50.22222222222222,56
56.0,0.0,-41.111111111111114,57
57.0,0.0,-38.111111111111114,58
58.0,0.0,-42.44444444444444,59
59.0,0.0,-46.22222222222222,60
60.0,0.0,-40.111111111111114,61
61.0,0.0,-56.44444444444444,62
62.0,0.0,-28.88888888888889,63
63.0,0.0,-43.22222222222222,64
64.0,0.0,-38.0,65
65.0,0.0,-45.888888888888886,66
