episode,total_done,total_col,step,steps
176.0,65.9,4.7,255.1,177
177.0,66.3,2.3,249.2,178
178.0,66.5,5.4,262.7,179
179.0,66.6,4.9,275.6,180
180.0,66.7,3.7,284.6,181
181.0,67.0,3.8,267.1,182
182.0,67.5,1.8,211.2,183
183.0,68.1,2.2,171.1,184
184.0,68.7,1.8,223.4,185
185.0,69.0,2.5,241.1,186
186.0,69.4,2.7,210.1,187
187.0,69.7,4.5,257.4,188
188.0,70.2,5.8,249.2,189
189.0,70.5,2.9,248.6,190
190.0,70.8,4.2,260.8,191
191.0,71.4,3.7,182.6,192
192.0,71.7,3.8,236.8,193
193.0,71.8,6.0,272.6,194
194.0,72.1,4.6,283.7,195
195.0,72.4,4.4,252.0,196
196.0,72.7,5.7,274.3,197
197.0,73.2,4.9,210.0,198
198.0,73.5,3.6,257.6,199
199.0,73.8,2.0,256.1,200
