Agent 0,Agent 1,min,max,avg,steps,trend
34.9,3.9,3.4,35.4,19.4,104,23.23657838135865
34.8,6.9,1.9,39.8,20.849999999999998,105,23.282931104458555
27.7,23.2,5.7,45.2,25.450000000000003,106,23.32938323913655
28.2,10.2,3.1,35.3,19.2,107,23.37592737430047
30.1,18.7,4.3,44.5,24.4,108,23.422556155278393
33.2,6.1,1.5,37.8,19.65,109,23.469262283818672
28.0,9.8,2.1,35.7,18.900000000000002,110,23.51603851808991
40.7,1.1,1.1,40.7,20.900000000000002,111,23.56287767268097
36.9,12.8,3.9,45.8,24.849999999999998,112,23.609772618600978
38.6,17.1,4.1,51.6,27.85,113,23.656716283279316
34.9,10.1,3.8,41.2,22.5,114,23.703701650565627
36.7,17.3,6.8,47.2,27.0,115,23.750721760729814
29.1,19.7,6.8,42.0,24.4,116,23.79776971046204
40.5,6.2,4.2,42.5,23.35,117,23.844838652872717
32.5,17.0,6.3,43.2,24.75,118,23.891921797492536
37.5,13.6,6.1,45.0,25.55,119,23.939012410272433
40.1,14.2,5.6,48.7,27.150000000000002,120,23.9861038135836
35.6,15.7,6.2,45.1,25.650000000000002,121,24.033189386217504
35.5,19.3,5.2,49.6,27.400000000000002,122,24.08026256338586
34.6,25.7,7.1,53.2,30.150000000000002,123,24.127316836720638
37.2,16.0,7.7,45.5,26.6,124,24.174345754274086
37.6,18.3,3.7,52.2,27.950000000000003,125,24.22134292051869
34.5,10.0,3.8,40.7,22.25,126,24.268301996347212
42.6,24.9,7.7,59.8,33.75,127,24.31521669907266
34.3,14.9,4.5,44.7,24.6,128,24.36208080242831
45.1,15.3,14.5,45.9,30.2,129,24.408888136567693
39.6,9.9,2.8,46.7,24.75,130,24.455632588064606
31.2,14.7,6.6,39.3,22.95,131,24.502308099913098
37.7,16.0,4.7,49.0,26.85,132,24.548908671527478
38.9,13.7,5.2,47.4,26.3,133,24.595428358742318
35.8,14.6,7.0,43.4,25.2,134,24.641861273812445
23.8,36.7,6.7,53.8,30.25,135,24.688201585412955
25.1,23.0,6.8,41.3,24.049999999999997,136,24.73444351863919
29.8,17.6,2.8,44.6,23.7,137,24.78058135500676
25.2,20.1,4.9,40.4,22.65,138,24.826609432451527
24.6,22.5,4.3,42.8,23.549999999999997,139,24.872522145329626
25.3,26.6,6.5,45.4,25.95,140,24.918313944417438
22.4,19.4,3.9,37.9,20.9,141,24.963979336911606
28.1,23.5,5.4,46.2,25.8,142,25.009512886429036
24.9,24.1,4.2,44.8,24.5,143,25.054909213006894
24.7,25.8,5.9,44.6,25.25,144,25.100162993102604
35.9,25.4,3.9,57.4,30.65,145,25.145268959593846
35.7,18.2,1.4,52.5,26.95,146,25.19022190177856
24.7,18.7,4.0,39.4,21.7,147,25.23501666537495
26.0,19.1,4.3,40.8,22.549999999999997,148,25.279648152521474
27.7,21.3,5.9,43.1,24.5,149,25.324111321776854
25.8,14.2,3.9,36.1,20.0,150,25.368401188120068
25.2,12.4,2.2,35.4,18.8,151,25.412512822950355
25.6,26.4,7.5,44.5,26.0,152,25.456441354087215
26.6,17.7,6.0,38.3,22.15,153,25.500181965770402
24.2,14.1,3.2,35.1,19.150000000000002,154,25.543729898659933
22.3,15.3,3.6,34.0,18.8,155,25.587080449836083
24.0,14.7,4.5,34.2,19.35,156,25.63022897279939
23.2,19.8,4.2,38.8,21.5,157,25.67317087747065
23.2,19.3,5.9,36.6,21.25,158,25.71590163019091
27.5,22.5,6.5,43.5,25.0,159,25.75841675372149
25.3,18.2,6.8,36.7,21.75,160,25.800711827243962
24.3,22.4,7.4,39.3,23.349999999999998,161,25.842782486360154
29.4,17.0,6.0,40.4,23.2,162,25.88462442309216
24.8,14.1,3.8,35.1,19.45,163,25.92623338588233
25.0,19.0,6.1,37.9,22.0,164,25.967605179593274
24.1,15.2,3.7,35.6,19.650000000000002,165,26.008735665507864
24.2,19.5,6.0,37.7,21.85,166,26.049620761329223
23.7,22.3,7.1,38.9,23.0,167,26.090256441180745
24.8,29.1,9.9,44.0,26.95,168,26.130638735606073
25.2,20.6,7.8,38.0,22.9,169,26.170763731569117
28.6,21.4,7.4,42.6,25.0,170,26.210627572454044
24.1,18.3,6.5,35.9,21.2,171,26.250226458065274
25.3,18.7,6.7,37.3,22.0,172,26.2895566446275
24.1,20.1,5.0,39.2,22.1,173,26.328614444785657
22.8,31.1,8.2,45.7,26.950000000000003,174,26.367396227604953
24.0,21.3,4.9,40.4,22.65,175,26.405898418570853
20.6,31.1,5.9,45.8,25.849999999999998,176,26.444117499589076
22.2,41.0,9.2,54.0,31.6,177,26.482050008985603
32.6,21.1,2.9,50.8,26.849999999999998,178,26.51969254150668
24.1,17.6,5.0,36.7,20.85,179,26.5570417483188
35.8,10.5,4.6,41.7,23.150000000000002,180,26.594094337008727
34.8,16.4,6.2,45.0,25.6,181,26.630847071583478
34.7,20.0,8.3,46.4,27.35,182,26.667296772470337
27.3,21.6,5.0,43.9,24.45,183,26.703440316516833
24.4,28.4,8.2,44.6,26.4,184,26.739274636990768
34.9,13.6,4.2,44.3,24.25,185,26.7747967235802
35.9,13.7,6.6,43.0,24.8,186,26.810003622393438
