Agent 0,Agent 1,min,max,avg,steps,trend
24.6,19.7,7.0,37.3,22.15,1,25.791852748409227
22.6,21.3,6.8,37.1,21.95,2,25.76508906204228
23.3,25.0,8.5,39.8,24.15,3,25.739122034106867
22.4,28.4,6.4,44.4,25.4,4,25.71394385173268
21.8,21.2,6.0,37.0,21.5,5,25.689546731822787
21.2,22.0,6.7,36.5,21.6,6,25.66592292105366
20.3,34.8,6.7,48.4,27.55,7,25.64306469587516
21.0,27.7,8.3,40.4,24.35,8,25.620964362510545
21.0,11.3,1.9,30.4,16.15,9,25.59961425695647
23.3,26.8,4.6,45.5,25.05,10,25.579006744982983
25.6,28.3,7.3,46.6,26.95,11,25.559134222133526
25.2,19.6,5.6,39.2,22.400000000000002,12,25.53998911372494
23.4,19.3,4.0,38.7,21.35,13,25.521563874847455
27.2,33.9,5.4,55.7,30.55,14,25.503850990364697
27.4,25.6,5.8,47.2,26.5,15,25.486842974913696
28.1,28.4,7.0,49.5,28.25,16,25.470532372904863
24.2,23.9,1.9,46.2,24.05,17,25.45491175852201
31.9,21.5,3.4,50.0,26.7,18,25.43997373572235
33.3,19.9,5.1,48.1,26.6,19,25.425710938236485
22.2,26.2,5.4,43.0,24.2,20,25.412116029568406
23.1,16.1,4.9,34.3,19.599999999999998,21,25.399181702995513
23.8,33.8,9.8,47.8,28.799999999999997,22,25.386900681568584
21.9,19.1,4.0,37.0,20.5,23,25.375265718111812
31.8,32.2,8.8,55.2,32.0,24,25.36426959522277
35.4,19.7,7.2,47.9,27.55,25,25.353905125272423
21.1,15.9,2.3,34.7,18.5,26,25.344165150405146
31.4,23.8,5.6,49.6,27.6,27,25.335042542538698
27.0,30.0,9.5,47.5,28.5,28,25.326530203364236
23.3,35.3,10.2,48.4,29.299999999999997,29,25.318621064346313
24.7,33.7,9.3,49.1,29.200000000000003,30,25.31130808672287
21.7,14.1,2.5,33.3,17.9,31,25.304584261505255
21.7,25.1,5.0,41.8,23.4,32,25.2984426094782
22.7,27.9,6.0,44.6,25.3,33,25.29287618119984
22.1,24.9,5.9,41.1,23.5,34,25.2878780570017
23.8,28.4,6.2,46.0,26.1,35,25.283441346988692
35.1,20.3,6.0,49.4,27.7,36,25.279559191039144
27.9,19.3,6.8,40.4,23.599999999999998,37,25.276224758804762
23.1,33.8,8.4,48.5,28.45,38,25.273431249710654
25.2,16.5,5.6,36.1,20.85,39,25.271171892955316
26.4,13.6,4.5,35.5,20.0,40,25.269439947510648
23.6,37.5,9.7,51.4,30.549999999999997,41,25.268228702121938
24.2,30.4,6.6,48.0,27.3,42,25.267531475307873
23.9,40.1,8.7,55.3,32.0,43,25.267341615360532
23.1,28.9,5.9,46.1,26.0,44,25.267652500345392
22.4,24.3,3.6,43.1,23.35,45,25.26845753810132
24.1,33.8,10.5,47.4,28.95,46,25.26975016624058
23.4,27.7,8.9,42.2,25.55,47,25.27152385214884
24.1,24.2,4.9,43.4,24.15,48,25.273772092985144
22.9,29.0,6.5,45.4,25.95,49,25.27648841568195
24.2,33.8,8.4,49.6,29.0,50,25.2796663769451
23.9,28.6,6.1,46.4,26.25,51,25.283299563253834
22.5,33.2,6.5,49.2,27.85,52,25.287381590860782
20.6,36.1,3.9,52.8,28.349999999999998,53,25.29190610579198
21.4,23.6,4.9,40.1,22.5,54,25.29686678384685
22.7,33.8,6.4,50.1,28.25,55,25.30225733059821
22.6,41.7,8.2,56.1,32.15,56,25.308071481392275
23.9,33.0,8.0,48.9,28.45,57,25.31430300134865
22.8,33.0,6.4,49.4,27.9,58,25.320945685360346
30.8,34.5,7.8,57.5,32.65,59,25.32799335809376
23.5,33.8,7.4,49.9,28.65,60,25.335439873988683
22.9,35.3,5.6,52.6,29.1,61,25.343279117258305
14.3,42.0,10.2,46.1,28.15,62,25.35150500188921
25.1,43.3,11.7,56.7,34.2,63,25.36011147164137
25.6,34.9,6.9,53.6,30.25,64,25.369092500048172
26.3,21.7,4.1,43.9,24.0,65,25.378442090416375
27.2,45.3,13.9,58.6,36.25,66,25.38815427582614
24.0,41.9,11.9,54.0,32.95,67,25.398223119131032
22.6,45.9,10.9,57.6,34.25,68,25.408642712958
32.4,24.3,7.6,49.1,28.35,69,25.41940717970739
42.6,9.7,7.8,44.5,26.15,70,25.430510671552952
40.0,14.1,9.0,45.1,27.05,71,25.441947370441817
32.3,27.3,11.2,48.4,29.799999999999997,72,25.453711488094523
33.6,10.8,3.9,40.5,22.2,73,25.46579726600499
35.1,12.6,5.8,41.9,23.849999999999998,74,25.47819897544055
39.0,17.2,12.2,44.0,28.1,75,25.490910917441912
30.7,19.5,8.5,41.7,25.1,76,25.503927422823192
30.7,21.5,8.5,43.7,26.1,77,25.5172428521719
31.3,7.3,4.9,33.7,19.3,78,25.530851595848933
35.1,13.0,8.8,39.3,24.049999999999997,79,25.54474807398859
31.8,8.5,5.3,35.0,20.15,80,25.558926736498563
30.1,17.9,8.7,39.3,24.0,81,25.573382063059938
32.3,12.9,8.1,37.1,22.6,82,25.5881085631272
30.5,15.1,7.8,37.8,22.799999999999997,83,25.60310077592822
37.3,20.9,12.5,45.7,29.1,84,25.618353270464276
31.4,18.6,8.6,41.4,25.0,85,25.63386064551003
30.7,19.9,8.3,42.3,25.299999999999997,86,25.649617529613543
32.0,12.4,8.2,36.2,22.200000000000003,87,25.665618581096275
28.7,13.2,6.6,35.3,20.95,88,25.681858488053074
26.7,21.5,9.8,38.4,24.1,89,25.69833196835219
31.7,21.6,9.9,43.4,26.65,90,25.71503376963526
30.5,24.1,8.8,45.8,27.299999999999997,91,25.731958669317322
33.4,28.0,10.1,51.3,30.7,92,25.7491014745868
31.8,24.9,8.6,48.1,28.35,93,25.766457022405532
30.1,24.1,6.8,47.4,27.099999999999998,94,25.784020179508733
35.7,7.3,3.6,39.4,21.5,95,25.801785842405017
27.3,15.7,2.4,40.6,21.5,96,25.819748937376396
32.5,10.1,3.5,39.1,21.3,97,25.837904420478274
32.2,20.2,8.2,44.2,26.200000000000003,98,25.856247277539456
33.5,8.3,3.3,38.5,20.9,99,25.87477252416213
34.9,16.9,5.7,46.1,25.900000000000002,100,25.89347520572189
35.4,20.1,8.3,47.2,27.75,101,25.91235039736772
33.9,17.2,5.7,45.4,25.55,102,25.931393204022
35.1,14.0,8.3,40.8,24.549999999999997,103,25.950598760380508
39.8,16.0,12.1,43.7,27.900000000000002,104,25.96996223091241
35.9,9.8,5.8,39.9,22.849999999999998,105,25.989478809860273
40.0,16.0,11.3,44.7,28.0,106,26.009143721240058
34.3,28.2,10.3,52.2,31.25,107,26.028952218841113
34.4,17.2,8.0,43.6,25.8,108,26.04889958622619
33.2,19.2,5.7,46.7,26.200000000000003,109,26.06898113673144
25.3,5.2,2.9,27.6,15.25,110,26.089192213466397
25.2,18.2,3.1,40.3,21.7,111,26.10952818931399
31.8,15.3,6.0,41.1,23.55,112,26.12998446693056
34.1,8.0,4.1,38.0,21.05,113,26.150556478745816
33.8,16.5,6.1,44.2,25.150000000000002,114,26.17123968696289
35.8,15.0,6.4,44.4,25.4,115,26.192029583558288
30.3,10.0,0.6,39.7,20.150000000000002,116,26.212921690281924
32.4,8.5,5.3,35.6,20.45,117,26.2339115586571
33.2,6.2,5.1,34.3,19.7,118,26.25499476998051
32.3,20.3,8.8,43.8,26.299999999999997,119,26.27616693532225
32.5,14.1,5.9,40.7,23.3,120,26.297423695525815
33.1,14.8,8.5,39.4,23.95,121,26.31876072120808
35.0,5.2,4.4,35.8,20.099999999999998,122,26.340173712759324
33.7,15.1,7.8,41.0,24.4,123,26.36165840034322
24.7,13.6,6.4,31.9,19.15,124,26.38321054389684
34.0,9.5,6.8,36.7,21.75,125,26.404825933130645
34.3,12.5,10.3,36.5,23.4,126,26.426500387528492
34.2,11.3,6.0,39.5,22.75,127,26.448229756347637
35.5,11.1,6.5,40.1,23.3,128,26.470009918618718
34.6,9.6,5.2,39.0,22.1,129,26.49183678314579
35.5,19.5,7.5,47.5,27.5,130,26.51370628850628
36.2,8.3,6.8,37.7,22.25,131,26.535614403051028
39.9,4.9,2.3,42.5,22.4,132,26.557557124904257
39.9,12.9,4.5,48.3,26.4,133,26.579530481963587
41.4,14.6,7.0,49.0,28.0,134,26.601530531900043
41.5,16.2,4.3,53.4,28.849999999999998,135,26.62355336215803
42.2,10.5,6.0,46.7,26.35,136,26.645595089955357
41.3,11.2,5.9,46.6,26.25,137,26.667651862283225
40.0,11.0,3.1,47.9,25.5,138,26.689719855906233
44.5,11.6,5.8,50.3,28.049999999999997,139,26.71179527736237
39.1,16.1,5.2,50.0,27.6,140,26.733874362963025
40.9,16.7,7.8,49.8,28.799999999999997,141,26.755953378792977
44.5,12.2,6.4,50.3,28.349999999999998,142,26.778028620710405
47.0,15.6,7.3,55.3,31.299999999999997,143,26.80009641434688
42.9,18.4,7.4,53.9,30.65,144,26.822153115107362
43.3,24.4,12.4,55.3,33.85,145,26.84419510817022
40.6,22.0,6.3,56.3,31.299999999999997,146,26.866218808487204
41.4,15.9,8.9,48.4,28.65,147,26.88822066078347
42.5,23.3,7.9,57.9,32.9,148,26.910197139557564
40.2,14.6,5.6,49.2,27.400000000000002,149,26.93214474908142
39.4,19.6,6.4,52.6,29.5,150,26.95406002340038
43.7,25.0,9.3,59.4,34.35,151,26.97593952633317
39.6,24.5,8.3,55.8,32.05,152,26.99777985147192
43.4,24.1,9.3,58.2,33.75,153,27.019577622182148
47.6,9.9,3.8,53.7,28.75,154,27.041329491602767
39.0,14.3,5.8,47.5,26.65,155,27.063032142646094
40.9,22.4,6.7,56.6,31.650000000000002,156,27.084682287997826
38.5,13.5,3.5,48.5,26.0,157,27.106276670117065
43.9,5.8,4.0,45.7,24.85,158,27.127812061236313
