episode,total_done,total_col,step,steps
176.0,3.375,2.125,325.0,177
177.0,3.375,1.5,325.0,178
178.0,3.375,0.75,325.0,179
179.0,3.625,1.875,322.25,180
180.0,3.625,4.25,325.0,181
181.0,3.625,2.125,325.0,182
182.0,3.75,1.5,307.5,183
183.0,3.875,3.0,317.0,184
184.0,3.875,7.5,325.0,185
185.0,3.875,2.5,325.0,186
186.0,3.875,2.875,325.0,187
187.0,3.875,2.375,325.0,188
188.0,3.875,1.375,325.0,189
189.0,3.875,1.125,325.0,190
190.0,4.0,3.125,323.0,191
191.0,4.0,0.5,325.0,192
192.0,4.125,1.75,303.75,193
193.0,4.375,1.375,311.0,194
194.0,4.5,2.375,305.25,195
195.0,4.625,3.625,318.125,196
196.0,4.75,1.75,319.5,197
197.0,4.75,3.25,325.0,198
198.0,4.75,2.625,325.0,199
199.0,4.75,2.625,325.0,200
200.0,4.75,2.375,325.0,201
201.0,4.875,2.5,315.625,202
202.0,4.875,4.75,325.0,203
203.0,5.0,0.75,304.75,204
204.0,5.0,0.75,325.0,205
205.0,5.0,1.25,325.0,206
206.0,5.0,6.875,325.0,207
207.0,5.0,2.0,325.0,208
208.0,5.0,2.625,325.0,209
209.0,5.0,1.125,325.0,210
210.0,5.125,1.75,313.25,211
211.0,5.125,0.625,325.0,212
212.0,5.125,3.5,325.0,213
213.0,5.125,2.125,325.0,214
214.0,5.125,0.75,325.0,215
215.0,5.125,1.25,325.0,216
216.0,5.25,0.875,310.0,217
217.0,5.25,1.0,325.0,218
218.0,5.25,1.125,325.0,219
219.0,5.25,1.625,325.0,220
220.0,5.375,0.125,323.375,221
221.0,5.375,0.875,325.0,222
222.0,5.375,1.25,325.0,223
223.0,5.375,0.875,325.0,224
224.0,5.375,3.125,325.0,225
225.0,5.375,2.125,325.0,226
226.0,5.375,5.375,325.0,227
227.0,5.5,0.125,314.625,228
228.0,5.5,1.25,325.0,229
229.0,5.5,2.0,325.0,230
230.0,5.5,2.0,325.0,231
231.0,5.5,3.0,325.0,232
232.0,5.5,0.375,325.0,233
233.0,5.5,1.0,325.0,234
234.0,5.5,0.75,325.0,235
235.0,5.625,0.75,321.125,236
236.0,5.875,4.0,296.125,237
237.0,5.875,0.75,325.0,238
238.0,6.0,1.75,313.75,239
239.0,6.0,2.75,325.0,240
240.0,6.125,0.5,316.25,241
241.0,6.125,0.875,325.0,242
242.0,6.125,0.75,325.0,243
243.0,6.125,1.25,325.0,244
244.0,6.125,2.125,325.0,245
245.0,6.125,0.625,325.0,246
246.0,6.125,4.125,325.0,247
247.0,6.125,0.75,325.0,248
248.0,6.125,0.875,325.0,249
249.0,6.125,0.625,325.0,250
250.0,6.125,4.125,325.0,251
251.0,6.25,0.625,311.125,252
252.0,6.25,1.375,325.0,253
253.0,6.25,1.375,325.0,254
254.0,6.375,3.75,322.125,255
255.0,6.375,0.375,325.0,256
256.0,6.375,2.0,325.0,257
257.0,6.375,1.25,325.0,258
