Agent 0,Agent 1,min,max,avg,steps,trend
42.2,8.0,4.1,46.1,25.1,1,31.196662506080962
43.8,21.2,8.3,56.7,32.5,2,31.221023391563698
39.2,10.8,3.5,46.5,25.0,3,31.244657077732374
42.0,10.9,6.7,46.2,26.450000000000003,4,31.267569048636894
40.8,8.6,4.4,45.0,24.7,5,31.289764775668218
44.7,20.3,8.1,56.9,32.5,6,31.31124971755838
38.8,14.9,4.9,48.8,26.849999999999998,7,31.33202932038047
39.4,13.1,4.0,48.5,26.25,8,31.352109017548656
39.0,6.4,4.3,41.1,22.7,9,31.371494229818158
38.3,19.6,6.4,51.5,28.95,10,31.39019036528527
40.3,17.4,5.0,52.7,28.85,11,31.408202819387345
48.0,13.9,6.4,55.5,30.95,12,31.425536974902812
39.9,8.9,4.8,44.0,24.4,13,31.44219820195115
38.6,19.0,6.1,51.5,28.8,14,31.458191857992915
47.0,22.0,10.4,58.6,34.5,15,31.47352328782973
37.1,27.7,7.4,57.4,32.4,16,31.488197823604278
38.0,21.6,4.3,55.3,29.799999999999997,17,31.502220784800304
42.4,16.5,6.2,52.7,29.450000000000003,18,31.515597478242622
37.0,19.5,4.9,51.6,28.25,19,31.52833319809712
37.6,22.3,5.7,54.2,29.950000000000003,20,31.540433225870732
37.5,20.5,6.7,51.3,29.0,21,31.55190283041148
35.2,22.7,5.7,52.2,28.950000000000003,22,31.56274726790843
37.2,15.1,3.8,48.5,26.15,23,31.572971781891738
37.2,24.0,4.2,57.0,30.6,24,31.582581603232594
41.9,27.6,7.6,61.9,34.75,25,31.591581950143283
37.0,34.3,6.3,65.0,35.65,26,31.59997802817714
38.4,32.2,8.3,62.3,35.3,27,31.607775030228566
42.0,24.1,4.9,61.2,33.050000000000004,28,31.614978136533033
40.0,23.3,5.4,57.9,31.65,29,31.62159251466707
36.6,20.6,1.9,55.3,28.599999999999998,30,31.627623319548285
38.1,27.3,4.9,60.5,32.7,31,31.633075693435334
37.6,26.8,4.4,60.0,32.2,32,31.637954765927955
36.6,21.0,3.8,53.8,28.799999999999997,33,31.642265653966938
38.0,28.8,6.5,60.3,33.4,34,31.64601346183415
37.7,31.7,6.6,62.8,34.699999999999996,35,31.649203281152516
44.5,34.5,8.9,70.1,39.5,36,31.651840190886027
36.9,36.6,5.9,67.6,36.75,37,31.65392925733974
36.9,24.3,4.5,56.7,30.6,38,31.655475534159777
42.1,23.1,5.1,60.1,32.6,39,31.65648406233333
37.9,28.3,6.7,59.5,33.1,40,31.656959870188654
37.6,37.5,6.9,68.2,37.550000000000004,41,31.656907973395064
39.3,25.8,5.8,59.3,32.55,42,31.656333374962944
46.7,25.7,12.4,60.0,36.2,43,31.65524106524375
37.9,27.8,6.1,59.6,32.85,44,31.65363602192999
40.7,27.9,7.9,60.7,34.300000000000004,45,31.651523210055252
40.2,32.2,7.3,65.1,36.199999999999996,46,31.64890758199418
43.8,25.7,10.7,58.8,34.75,47,31.645794077462487
39.1,36.1,6.9,68.3,37.6,48,31.642187623516946
49.1,28.7,6.9,70.9,38.900000000000006,49,31.638093134555405
37.1,29.9,7.9,59.1,33.5,50,31.633515512316766
36.8,21.0,4.4,53.4,28.9,51,31.628459645881005
46.2,20.5,11.2,55.5,33.35,52,31.622930411669163
42.8,26.7,5.2,64.3,34.75,53,31.616932673443344
37.4,24.6,2.9,59.1,31.0,54,31.610471282306715
45.0,21.8,12.4,54.4,33.4,55,31.603551076703514
37.5,22.8,6.8,53.5,30.15,56,31.59617688241904
37.1,24.3,7.3,54.1,30.7,57,31.58835351257966
38.8,31.0,7.7,62.1,34.9,58,31.580085767652804
40.6,24.9,7.3,58.2,32.75,59,31.57137843544697
41.2,23.8,6.8,58.2,32.5,60,31.562236291111724
38.7,33.2,5.8,66.1,35.949999999999996,61,31.552664097137683
39.9,35.3,8.4,66.8,37.6,62,31.54266660335655
41.3,27.7,6.4,62.6,34.5,63,31.53224854694108
40.9,17.8,4.2,54.5,29.35,64,31.5214146524051
41.2,28.2,7.0,62.4,34.7,65,31.510169631603492
43.2,25.4,6.8,61.8,34.3,66,31.498518183732216
39.3,30.9,6.0,64.2,35.1,67,31.486464995328294
38.3,22.9,4.2,57.0,30.6,68,31.47401474026981
42.0,29.8,4.0,67.8,35.9,69,31.461172079775913
49.5,26.1,6.8,68.8,37.8,70,31.44794166240682
55.0,27.6,6.4,76.2,41.300000000000004,71,31.43432812406381
55.8,24.5,4.8,75.5,40.15,72,31.420336087989238
54.7,32.0,12.1,74.6,43.349999999999994,73,31.40597016476651
47.4,24.7,4.9,67.2,36.050000000000004,74,31.39123495232011
47.9,26.2,5.9,68.2,37.050000000000004,75,31.376135035915578
48.3,21.1,2.8,66.6,34.699999999999996,76,31.36067498815952
48.1,20.3,5.9,62.5,34.2,77,31.344859368999614
47.9,14.6,7.0,55.5,31.25,78,31.3286927257246
49.6,22.1,4.6,67.1,35.849999999999994,79,31.312179592964284
48.1,28.2,6.3,70.0,38.15,80,31.29532449268953
39.7,11.4,3.4,47.7,25.55,81,31.278131934212286
40.5,29.2,7.9,61.8,34.85,82,31.260606414185542
41.6,29.5,7.3,63.8,35.55,83,31.24275241660337
45.7,18.6,8.2,56.1,32.15,84,31.224574412800905
44.2,26.1,7.0,63.3,35.15,85,31.20607686145434
41.7,27.1,6.6,62.2,34.4,86,31.187264208580935
50.6,23.7,10.9,63.4,37.15,87,31.16814088753903
53.0,12.8,4.7,61.1,32.9,88,31.148711319028006
45.7,22.8,5.9,62.6,34.25,89,31.128979911088333
44.5,20.6,6.5,58.6,32.55,90,31.10895105910153
50.4,15.3,4.8,60.9,32.85,91,31.08862914579019
41.5,32.7,8.6,65.6,37.099999999999994,92,31.068018541217963
46.6,16.0,6.0,56.6,31.3,93,31.04712360278958
45.5,18.5,7.3,56.7,32.0,94,31.025948675250817
39.6,20.0,10.9,48.7,29.8,95,31.004498090688532
38.2,25.6,7.5,56.3,31.9,96,30.98277616853064
27.7,22.2,10.4,39.5,24.95,97,30.96078721554613
24.1,26.3,11.3,39.1,25.200000000000003,98,30.93853552584504
31.5,47.1,15.1,63.5,39.3,99,30.91602538087849
35.1,24.9,12.9,47.1,30.0,100,30.893261049438657
24.6,44.8,10.5,58.9,34.7,101,30.87024678765879
27.7,32.3,9.6,50.4,30.0,102,30.84698683901319
25.3,33.3,8.7,49.9,29.299999999999997,103,30.823485434317238
28.6,26.3,11.3,43.6,27.450000000000003,104,30.799746791727376
33.6,19.0,4.4,48.2,26.3,105,30.775775116741105
28.9,19.3,8.4,39.8,24.099999999999998,106,30.751574602197003
28.5,15.2,3.8,39.9,21.849999999999998,107,30.7271494282747
38.6,15.1,6.4,47.3,26.849999999999998,108,30.702503762494903
35.3,14.8,6.6,43.5,25.05,109,30.67764175971938
35.2,26.5,9.1,52.6,30.85,110,30.65256756215096
32.4,30.4,12.1,50.7,31.400000000000002,111,30.627285299333543
23.6,26.5,8.3,41.8,25.049999999999997,112,30.601799088152095
29.5,29.1,11.4,47.2,29.3,113,30.576113032832648
32.3,26.3,14.5,44.1,29.3,114,30.55023122494229
28.1,36.4,15.4,49.1,32.25,115,30.524157743389186
28.9,32.9,10.3,51.5,30.9,116,30.49789665442256
30.5,24.4,9.6,45.3,27.45,117,30.471452011632707
24.4,23.0,7.3,40.1,23.7,118,30.444827855950976
27.8,24.6,10.4,42.0,26.2,119,30.418028215649795
30.4,18.1,8.3,40.2,24.25,120,30.39105710634265
26.1,18.7,6.5,38.3,22.4,121,30.363918530984094
27.2,18.4,6.2,39.4,22.8,122,30.336616479869743
27.0,23.4,7.7,42.7,25.200000000000003,123,30.309154930636282
40.4,21.7,11.8,50.3,31.049999999999997,124,30.28153784826146
26.6,35.8,10.4,52.0,31.2,125,30.253769185064094
29.0,23.9,8.8,44.1,26.450000000000003,126,30.225852880704057
28.5,19.2,4.6,43.1,23.85,127,30.197792862182304
36.7,16.6,6.4,46.9,26.65,128,30.169593043840838
29.6,18.8,6.3,42.1,24.2,129,30.141257327362737
28.1,33.2,11.9,49.4,30.65,130,30.112789601772143
28.5,21.2,7.8,41.9,24.849999999999998,131,30.084193743434266
28.5,28.1,11.2,45.4,28.299999999999997,132,30.055473616055373
29.1,28.0,10.1,47.0,28.55,133,30.026633070682806
29.6,34.7,10.2,54.1,32.15,134,29.997675945704966
30.2,34.2,9.1,55.3,32.199999999999996,135,29.968606066851322
31.1,31.8,10.2,52.7,31.450000000000003,136,29.93942724719241
30.5,24.4,7.8,47.1,27.45,137,29.910143287139828
26.7,29.7,7.1,49.3,28.2,138,29.88075797444624
31.4,29.5,9.8,51.1,30.450000000000003,139,29.851275084205376
37.4,29.4,8.9,57.9,33.4,140,29.821698378852034
20.7,39.5,12.8,47.4,30.1,141,29.792031608162073
38.0,26.2,11.8,52.4,32.1,142,29.762278509252422
34.6,16.0,7.9,42.7,25.3,143,29.732442806581073
42.9,17.2,12.8,47.3,30.049999999999997,144,29.70252821194708
42.7,12.0,5.2,49.5,27.35,145,29.67253842449057
38.2,21.9,8.8,51.3,30.049999999999997,146,29.642477130692725
34.9,9.0,4.5,39.4,21.95,147,29.612348004375804
38.5,6.8,4.7,40.6,22.650000000000002,148,29.58215470670313
38.4,16.9,9.2,46.1,27.65,149,29.551900886179077
40.6,14.0,7.3,47.3,27.299999999999997,150,29.521590178649102
35.3,10.9,4.7,41.5,23.1,151,29.491226207299718
43.5,17.9,14.3,47.1,30.700000000000003,152,29.46081258265851
38.5,1.5,1.5,38.5,20.0,153,29.430352902594116
34.9,15.7,9.0,41.6,25.3,154,29.399850752316254
34.8,16.4,8.6,42.6,25.6,155,29.3693097043757
23.6,9.0,2.5,30.1,16.3,156,29.338733318664296
50.6,9.6,6.8,53.4,30.099999999999998,157,29.308125142414948
45.2,9.6,4.1,50.7,27.400000000000002,158,29.27748871020163
42.4,7.7,4.5,45.6,25.05,159,29.246827543939386
40.0,7.1,2.9,44.2,23.55,160,29.216145152884312
29.2,24.4,6.4,47.2,26.8,161,29.185445033633584
39.2,10.0,6.4,42.8,24.599999999999998,162,29.15473067012543
35.4,17.7,5.7,47.4,26.55,163,29.12400553363916
37.3,12.6,6.7,43.2,24.950000000000003,164,29.09327308279513
45.3,11.4,5.2,51.5,28.35,165,29.062536763554778
40.7,20.4,6.5,54.6,30.55,166,29.031800009220596
