episode,tot_done,reward,steps
212.0,0.0,-44.875,213
213.0,0.0,-31.375,214
214.0,0.0,-35.25,215
215.0,0.0,-31.875,216
216.0,0.0,-27.75,217
217.0,0.0,-32.5,218
218.0,0.0,-25.375,219
219.0,0.0,-33.0,220
220.0,0.0,-28.75,221
221.0,0.0,-15.5,222
222.0,0.0,-31.625,223
223.0,0.0,-28.75,224
224.0,0.0,-21.25,225
225.0,0.0,-35.25,226
226.0,0.0,-38.5,227
227.0,0.0,-32.0,228
228.0,0.0,-30.0,229
229.0,0.0,-25.125,230
230.0,0.0,-25.25,231
231.0,0.0,-28.5,232
232.0,0.0,-31.625,233
233.0,0.0,-28.75,234
234.0,0.0,-31.25,235
235.0,0.0,-31.625,236
236.0,0.0,-40.25,237
237.0,0.0,-28.375,238
238.0,0.0,-27.625,239
239.0,0.0,-32.5,240
240.0,0.0,-34.625,241
241.0,0.0,-33.625,242
242.0,0.0,-28.5,243
243.0,0.0,-33.0,244
244.0,0.0,-44.625,245
245.0,0.0,-33.25,246
246.0,0.0,-25.75,247
247.0,0.0,-19.875,248
248.0,0.0,-40.0,249
249.0,0.0,-33.0,250
250.0,0.0,-33.375,251
251.0,0.0,-32.5,252
252.0,0.0,-24.5,253
253.0,0.0,-27.75,254
254.0,0.0,-26.0,255
255.0,0.0,-28.75,256
256.0,0.0,-22.75,257
257.0,0.0,-22.75,258
258.0,0.0,-33.5,259
259.0,0.0,-32.375,260
260.0,0.0,-21.625,261
261.0,0.0,-16.5,262
262.0,0.0,-30.0,263
263.0,0.0,-31.25,264
264.0,0.0,-29.375,265
265.0,0.0,-21.5,266
266.0,0.0,-19.0,267
267.0,0.125,-19.75,268
268.0,0.125,-19.0,269
269.0,0.125,-23.375,270
270.0,0.125,-31.375,271
271.0,0.125,-21.25,272
272.0,0.125,-24.0,273
273.0,0.125,-14.625,274
274.0,0.125,-24.25,275
275.0,0.125,-25.125,276
276.0,0.125,-26.125,277
277.0,0.125,-26.625,278
278.0,0.125,-22.0,279
279.0,0.125,-21.375,280
280.0,0.125,-31.375,281
281.0,0.125,-19.0,282
282.0,0.125,-25.375,283
283.0,0.125,-16.0,284
284.0,0.125,-20.375,285
285.0,0.125,-25.125,286
286.0,0.125,-26.625,287
287.0,0.125,-18.875,288
288.0,0.125,-29.375,289
289.0,0.125,-22.625,290
290.0,0.125,-26.625,291
291.0,0.125,-20.875,292
292.0,0.125,-19.5,293
293.0,0.125,-27.0,294
294.0,0.125,-28.75,295
295.0,0.125,-25.75,296
296.0,0.125,-29.375,297
297.0,0.125,-15.75,298
298.0,0.125,-32.125,299
299.0,0.125,-22.75,300
300.0,0.125,-19.25,301
301.0,0.125,-23.875,302
302.0,0.125,-27.625,303
303.0,0.125,-22.625,304
304.0,0.125,-27.5,305
305.0,0.125,-26.5,306
306.0,0.125,-30.625,307
307.0,0.125,-24.375,308
308.0,0.125,-23.625,309
309.0,0.125,-17.25,310
310.0,0.125,-19.125,311
311.0,0.125,-22.0,312
312.0,0.125,-32.625,313
313.0,0.125,-28.875,314
314.0,0.125,-16.875,315
315.0,0.125,-20.625,316
316.0,0.125,-23.25,317
317.0,0.125,-20.375,318
318.0,0.125,-18.0,319
319.0,0.125,-23.125,320
320.0,0.125,-22.375,321
321.0,0.125,-32.0,322
322.0,0.125,-19.25,323
323.0,0.125,-26.875,324
324.0,0.125,-26.0,325
325.0,0.125,-19.125,326
326.0,0.125,-20.125,327
327.0,0.125,-22.5,328
328.0,0.125,-22.375,329
329.0,0.125,-16.75,330
330.0,0.125,-24.0,331
331.0,0.125,-28.0,332
332.0,0.125,-29.5,333
333.0,0.125,-21.375,334
334.0,0.125,-18.875,335
335.0,0.125,-20.625,336
336.0,0.125,-22.5,337
337.0,0.125,-25.25,338
338.0,0.25,-18.0,339
339.0,0.25,-22.0,340
340.0,0.25,-14.875,341
341.0,0.25,-18.0,342
342.0,0.25,-15.125,343
343.0,0.25,-23.125,344
344.0,0.25,-18.625,345
345.0,0.25,-22.875,346
346.0,0.25,-13.875,347
347.0,0.25,-14.625,348
348.0,0.25,-23.125,349
349.0,0.25,-21.125,350
350.0,0.25,-18.25,351
351.0,0.25,-15.5,352
352.0,0.25,-26.125,353
353.0,0.25,-17.0,354
354.0,0.25,-24.125,355
355.0,0.375,-13.0,356
356.0,0.375,-22.75,357
357.0,0.375,-20.625,358
358.0,0.375,-22.5,359
359.0,0.5,-18.125,360
360.0,0.5,-28.0,361
361.0,0.5,-18.375,362
362.0,0.5,-21.125,363
363.0,0.5,-20.125,364
364.0,0.625,-13.875,365
365.0,0.625,-14.25,366
366.0,0.625,-13.0,367
367.0,0.75,-10.5,368
368.0,0.75,-17.875,369
369.0,0.75,-22.375,370
370.0,0.875,-15.875,371
371.0,1.0,-16.625,372
372.0,1.125,-12.75,373
373.0,1.25,-13.375,374
374.0,1.375,-12.375,375
375.0,1.375,-16.125,376
376.0,1.5,-20.625,377
377.0,1.5,-31.0,378
378.0,1.5,-16.5,379
379.0,1.5,-21.75,380
380.0,1.625,-17.75,381
381.0,1.75,-19.5,382
382.0,1.75,-15.875,383
383.0,1.75,-15.625,384
384.0,1.875,-13.75,385
385.0,1.875,-22.0,386
386.0,2.0,-18.75,387
387.0,2.0,-19.25,388
388.0,2.125,-11.5,389
389.0,2.25,-14.25,390
390.0,2.25,-19.75,391
391.0,2.25,-16.5,392
392.0,2.25,-8.0,393
393.0,2.25,-17.375,394
394.0,2.375,-17.125,395
395.0,2.375,-24.75,396
396.0,2.375,-11.625,397
397.0,2.375,-12.875,398
398.0,2.5,-10.0,399
399.0,2.5,-16.75,400
400.0,2.5,-14.75,401
401.0,2.625,-9.125,402
402.0,2.75,-11.625,403
403.0,2.875,-14.625,404
404.0,3.0,-18.0,405
405.0,3.0,-17.375,406
406.0,3.0,-9.875,407
407.0,3.125,-16.0,408
408.0,3.25,-9.125,409
409.0,3.25,-21.375,410
410.0,3.375,-11.5,411
411.0,3.375,-15.25,412
412.0,3.375,-25.5,413
413.0,3.375,-30.875,414
414.0,3.5,-11.375,415
415.0,3.625,-12.875,416
416.0,3.625,-14.875,417
417.0,3.75,-15.625,418
418.0,3.75,-12.25,419
419.0,3.75,-14.5,420
420.0,3.75,-27.125,421
421.0,3.75,-18.625,422
422.0,3.75,-15.875,423
423.0,3.875,-13.625,424
424.0,3.875,-14.75,425
425.0,4.0,-14.75,426
426.0,4.125,-13.625,427
427.0,4.125,-17.125,428
428.0,4.125,-24.25,429
429.0,4.25,-14.625,430
430.0,4.375,-14.75,431
431.0,4.5,-13.0,432
432.0,4.5,-26.25,433
433.0,4.5,-11.5,434
434.0,4.5,-12.75,435
435.0,4.625,-6.625,436
436.0,4.75,-10.625,437
437.0,4.875,-8.5,438
438.0,4.875,-10.375,439
439.0,5.0,-15.5,440
440.0,5.125,-12.5,441
441.0,5.25,-15.125,442
442.0,5.375,-7.875,443
443.0,5.375,-23.625,444
444.0,5.375,-13.125,445
445.0,5.375,-13.875,446
446.0,5.375,-14.0,447
447.0,5.5,-9.125,448
448.0,5.5,-22.125,449
449.0,5.625,-11.125,450
450.0,5.75,-9.0,451
451.0,5.75,-11.75,452
452.0,5.875,-16.875,453
453.0,6.0,-5.875,454
454.0,6.125,-7.5,455
455.0,6.25,-8.875,456
456.0,6.25,-13.625,457
457.0,6.375,-11.875,458
458.0,6.375,-19.25,459
459.0,6.5,-11.125,460
460.0,6.625,-6.25,461
461.0,6.75,-4.375,462
462.0,6.75,-10.125,463
463.0,6.875,-11.0,464
464.0,6.875,-14.25,465
465.0,6.875,-11.25,466
466.0,6.875,-18.75,467
467.0,6.875,-14.625,468
468.0,7.0,-10.125,469
469.0,7.125,-10.5,470
470.0,7.25,-14.375,471
471.0,7.375,-15.75,472
472.0,7.5,-8.375,473
473.0,7.5,-11.5,474
474.0,7.625,-10.125,475
475.0,7.75,-18.0,476
476.0,7.75,-9.875,477
477.0,7.875,-12.875,478
478.0,8.0,-11.75,479
479.0,8.125,-14.0,480
480.0,8.25,-18.625,481
481.0,8.25,-10.875,482
482.0,8.375,-10.25,483
483.0,8.5,-11.375,484
484.0,8.625,-5.5,485
485.0,8.75,-8.125,486
486.0,8.75,-7.5,487
487.0,8.875,-6.0,488
488.0,9.0,-5.875,489
489.0,9.125,-4.0,490
490.0,9.25,-7.75,491
491.0,9.375,-7.25,492
492.0,9.375,-9.0,493
493.0,9.375,-13.375,494
494.0,9.375,-20.875,495
495.0,9.375,-8.0,496
496.0,9.5,-10.75,497
497.0,9.5,-12.625,498
498.0,9.625,-10.625,499
499.0,9.75,-11.25,500
500.0,9.75,-12.5,501
501.0,9.875,-7.125,502
502.0,9.875,-16.5,503
503.0,9.875,-13.625,504
504.0,10.0,-9.375,505
505.0,10.125,-10.375,506
506.0,10.125,-9.375,507
507.0,10.125,-14.125,508
508.0,10.25,-5.125,509
509.0,10.375,-6.875,510
510.0,10.5,-14.125,511
511.0,10.625,-12.75,512
512.0,10.75,-5.875,513
513.0,10.75,-20.5,514
514.0,10.75,-9.25,515
515.0,10.875,-8.0,516
516.0,11.0,-10.5,517
517.0,11.0,-9.75,518
518.0,11.125,-8.0,519
519.0,11.25,-6.375,520
520.0,11.25,-14.375,521
521.0,11.375,-5.75,522
522.0,11.5,-8.75,523
523.0,11.625,-11.375,524
524.0,11.75,-9.625,525
525.0,11.75,-11.25,526
526.0,11.75,-14.625,527
527.0,11.875,-16.25,528
528.0,12.0,-9.5,529
529.0,12.125,-4.25,530
530.0,12.375,-3.875,531
531.0,12.5,-8.625,532
532.0,12.5,-7.0,533
533.0,12.625,-11.25,534
534.0,12.75,-9.25,535
535.0,12.875,-15.375,536
536.0,13.0,-13.625,537
537.0,13.125,-6.125,538
538.0,13.25,-11.125,539
539.0,13.375,-8.5,540
540.0,13.5,-12.375,541
541.0,13.5,-12.875,542
542.0,13.625,-7.75,543
543.0,13.75,-8.0,544
544.0,13.875,-10.0,545
545.0,14.0,-13.25,546
546.0,14.125,-4.625,547
547.0,14.125,-21.5,548
548.0,14.25,-7.5,549
549.0,14.375,-8.375,550
550.0,14.5,-11.125,551
551.0,14.625,-6.75,552
552.0,14.75,-12.625,553
553.0,14.875,-5.875,554
554.0,15.0,-5.125,555
555.0,15.125,-9.75,556
556.0,15.25,-7.5,557
557.0,15.375,-4.875,558
558.0,15.5,-5.625,559
559.0,15.5,-12.875,560
560.0,15.625,-13.5,561
561.0,15.75,-9.0,562
562.0,15.875,-4.375,563
563.0,16.0,-4.0,564
564.0,16.125,-8.625,565
565.0,16.25,-3.625,566
566.0,16.25,-9.25,567
567.0,16.375,-9.25,568
568.0,16.5,-7.625,569
569.0,16.625,-15.25,570
570.0,16.75,-8.125,571
571.0,16.875,-3.625,572
572.0,16.875,-14.0,573
573.0,16.875,-9.125,574
574.0,17.0,-7.125,575
575.0,17.125,-14.375,576
576.0,17.25,-4.5,577
577.0,17.375,-10.375,578
578.0,17.5,-7.875,579
579.0,17.625,-9.125,580
580.0,17.625,-9.0,581
581.0,17.625,-10.125,582
582.0,17.75,-5.375,583
583.0,17.75,-8.125,584
584.0,17.875,-4.0,585
585.0,18.0,-4.375,586
586.0,18.125,-9.125,587
587.0,18.25,-10.0,588
588.0,18.375,-6.125,589
589.0,18.5,-5.75,590
590.0,18.625,-8.5,591
591.0,18.75,-5.0,592
592.0,18.875,-4.625,593
593.0,19.0,-5.25,594
594.0,19.125,-8.75,595
595.0,19.125,-9.875,596
596.0,19.25,-8.125,597
597.0,19.375,-5.5,598
598.0,19.5,-3.625,599
599.0,19.625,-5.5,600
600.0,19.625,-9.5,601
601.0,19.625,-12.125,602
602.0,19.75,-7.125,603
603.0,19.875,-14.5,604
604.0,19.875,-11.625,605
605.0,20.0,-6.75,606
606.0,20.125,-7.25,607
607.0,20.25,-8.75,608
608.0,20.375,-8.625,609
609.0,20.5,-12.375,610
610.0,20.625,-13.375,611
611.0,20.625,-20.0,612
612.0,20.75,-4.5,613
613.0,20.875,-16.5,614
614.0,21.0,-10.375,615
615.0,21.125,-4.0,616
616.0,21.25,-9.375,617
617.0,21.25,-6.5,618
618.0,21.375,-5.0,619
619.0,21.5,-4.125,620
620.0,21.625,-5.875,621
621.0,21.75,-9.5,622
622.0,21.875,-7.875,623
623.0,22.0,-6.25,624
624.0,22.125,-7.375,625
625.0,22.125,-8.25,626
626.0,22.25,-3.625,627
627.0,22.375,-4.875,628
628.0,22.5,-7.75,629
629.0,22.625,-4.75,630
630.0,22.75,-4.0,631
631.0,22.875,-16.875,632
632.0,23.0,-6.375,633
633.0,23.125,-7.625,634
634.0,23.25,-7.25,635
635.0,23.5,-5.125,636
636.0,23.5,-10.0,637
637.0,23.5,-6.875,638
638.0,23.625,-7.875,639
639.0,23.75,-3.625,640
640.0,23.875,-4.125,641
641.0,24.0,-6.125,642
642.0,24.125,-6.375,643
643.0,24.25,-9.0,644
644.0,24.375,-6.75,645
645.0,24.5,-4.5,646
646.0,24.625,-13.125,647
647.0,24.75,-7.125,648
648.0,24.875,-6.125,649
649.0,25.0,-4.75,650
650.0,25.25,-3.625,651
651.0,25.5,-3.125,652
652.0,25.625,-4.375,653
653.0,25.75,-6.125,654
654.0,25.875,-5.875,655
655.0,26.125,-4.125,656
656.0,26.375,-3.5,657
657.0,26.5,-11.875,658
658.0,26.75,-5.875,659
659.0,27.0,-12.625,660
660.0,27.25,-3.875,661
661.0,27.375,-5.375,662
662.0,27.625,-4.75,663
663.0,27.875,-3.0,664
664.0,28.0,-8.375,665
665.0,28.25,-4.5,666
666.0,28.375,-9.0,667
667.0,28.5,-9.125,668
668.0,28.625,-5.75,669
669.0,28.875,-4.375,670
670.0,29.0,-8.875,671
671.0,29.125,-4.875,672
672.0,29.375,-3.0,673
673.0,29.625,-6.0,674
674.0,29.625,-9.25,675
675.0,29.75,-7.875,676
676.0,30.0,-5.375,677
677.0,30.25,-4.125,678
678.0,30.5,-5.25,679
679.0,30.75,-3.0,680
680.0,31.0,-7.125,681
681.0,31.25,-5.5,682
682.0,31.5,-3.375,683
683.0,31.625,-7.375,684
684.0,31.875,-6.125,685
685.0,32.125,-6.5,686
686.0,32.125,-11.5,687
687.0,32.375,-3.0,688
688.0,32.625,-5.125,689
689.0,32.875,-3.375,690
690.0,33.0,-6.25,691
691.0,33.25,-3.0,692
692.0,33.375,-7.5,693
693.0,33.625,-7.75,694
694.0,33.875,-3.375,695
695.0,34.125,-3.0,696
696.0,34.25,-9.875,697
697.0,34.5,-3.375,698
698.0,34.75,-3.625,699
699.0,35.0,-3.5,700
700.0,35.25,-3.0,701
701.0,35.375,-5.0,702
702.0,35.5,-5.375,703
703.0,35.625,-9.875,704
704.0,35.875,-3.0,705
705.0,36.125,-3.0,706
706.0,36.375,-3.875,707
707.0,36.625,-4.75,708
708.0,36.75,-8.125,709
709.0,36.875,-11.875,710
710.0,37.0,-5.75,711
711.0,37.25,-3.25,712
712.0,37.5,-3.0,713
713.0,37.75,-6.5,714
714.0,38.0,-3.0,715
715.0,38.25,-8.375,716
716.0,38.5,-4.0,717
717.0,38.75,-6.625,718
718.0,38.875,-8.875,719
719.0,39.125,-5.5,720
720.0,39.375,-4.25,721
721.0,39.625,-3.0,722
722.0,39.875,-4.125,723
723.0,40.125,-3.0,724
724.0,40.375,-3.0,725
725.0,40.5,-9.0,726
726.0,40.75,-4.625,727
727.0,41.0,-4.125,728
728.0,41.125,-4.5,729
729.0,41.375,-3.5,730
