episode,total_done,total_col
0,0,1
1,0,6
2,1,0
3,1,0
4,1,3
5,2,8
6,3,9
7,3,1
8,3,9
9,4,3
10,4,6
11,4,8
12,4,2
13,5,7
14,6,0
15,6,12
16,7,1
17,8,1
18,8,1
19,8,14
20,9,1
21,10,1
22,10,0
23,11,1
24,11,0
25,11,10
26,11,3
27,12,5
28,13,1
29,14,6
30,15,12
31,16,1
32,17,0
33,18,0
34,18,0
35,18,0
36,18,0
37,19,12
38,20,6
39,20,0
40,21,1
41,22,3
42,23,0
43,24,1
44,25,4
45,26,6
46,26,1
47,27,7
48,28,0
49,29,0
50,29,1
51,30,0
52,31,1
53,32,2
54,33,8
55,34,6
56,35,1
57,36,0
58,37,1
59,38,5
60,39,4
61,39,3
62,40,5
63,41,0
64,42,0
65,43,8
66,44,5
67,44,0
68,45,4
69,46,0
70,47,0
71,48,0
72,49,3
73,50,0
74,51,0
75,52,0
76,53,0
77,54,5
78,55,0
79,56,6
80,57,4
81,58,0
82,59,0
83,60,0
84,61,3
85,62,0
86,63,3
87,64,4
88,65,0
89,66,0
90,67,3
91,68,0
92,69,0
93,70,0
94,71,0
95,72,0
96,73,0
97,74,0
98,75,0
99,76,0
100,77,0
101,78,2
102,79,3
103,80,1
104,81,0
105,82,0
106,83,0
107,83,6
108,84,0
109,85,0
110,86,0
111,87,0
112,88,8
113,89,1
114,90,3
115,91,0
116,92,1
117,92,5
118,93,0
119,94,5
120,95,0
121,96,0
122,97,1
123,98,1
124,99,0
125,100,0
126,101,0
127,102,0
128,103,0
129,104,0
130,104,2
131,105,0
132,106,2
133,107,0
134,108,0
135,109,0
136,110,0
137,111,0
138,112,1
139,113,2
140,114,0
141,115,0
142,116,0
143,117,0
144,118,0
145,119,3
146,120,0
147,121,0
148,122,0
149,123,0
150,124,0
151,125,0
152,126,0
153,127,1
154,128,0
155,129,0
156,130,0
157,131,0
158,132,0
159,133,1
160,134,0
161,135,0
162,136,0
163,137,1
164,138,0
165,139,0
166,140,0
167,141,1
168,142,0
169,143,0
170,144,5
171,145,0
172,146,0
173,147,0
174,148,0
175,149,1
176,150,2
177,151,4
178,152,0
179,153,0
180,154,0
181,155,2
182,156,1
183,157,2
184,158,0
185,159,1
186,160,0
187,161,4
188,162,0
189,163,3
190,164,0
191,165,0
192,166,0
193,167,0
194,168,0
195,169,1
196,170,0
197,171,0
198,172,0
199,173,0
