episode,total_done,total_col
0,1,10
1,1,1
2,1,13
3,1,4
4,1,2
5,1,3
6,1,14
7,2,4
8,3,3
9,3,0
10,3,7
11,4,14
12,4,3
13,4,11
14,4,15
15,5,3
16,5,6
17,5,0
18,6,4
19,6,8
20,6,6
21,6,11
22,7,4
23,7,8
24,8,2
25,9,4
26,10,2
27,10,5
28,11,2
29,11,0
30,11,13
31,11,8
32,11,2
33,11,2
34,11,0
35,12,1
36,13,0
37,14,0
38,15,1
39,16,0
40,17,0
41,17,3
42,18,3
43,19,1
44,20,1
45,21,1
46,22,1
47,23,1
48,24,3
49,24,7
50,25,2
51,26,3
52,27,1
53,28,1
54,29,3
55,30,0
56,31,4
57,32,2
58,33,0
59,34,2
60,35,5
61,36,8
62,37,0
63,38,0
64,39,1
65,40,0
66,41,4
67,42,0
68,43,0
69,44,0
70,45,3
71,46,0
72,47,1
73,48,0
74,49,0
75,50,0
76,51,0
77,52,1
78,53,1
79,54,2
80,55,3
81,56,1
82,57,4
83,58,0
84,59,1
85,60,0
86,61,0
87,62,0
88,63,2
89,64,1
90,65,0
91,66,0
92,67,0
93,68,0
94,69,2
95,70,1
96,71,0
97,72,0
98,73,6
99,74,3
100,75,2
101,76,0
102,77,0
103,78,0
104,79,0
105,80,0
106,81,5
107,82,0
108,83,0
109,84,2
110,85,0
111,86,0
112,87,0
113,88,0
114,89,0
115,90,8
116,91,1
117,92,0
118,93,1
119,94,0
120,95,0
121,96,0
122,97,0
123,98,0
124,99,0
125,100,1
126,101,0
127,102,0
128,103,0
129,104,0
130,105,0
131,106,0
132,107,0
133,108,0
134,109,1
135,110,1
136,111,0
137,112,2
138,113,0
139,114,1
140,115,0
141,116,0
142,117,0
143,118,0
144,119,0
145,120,0
146,121,0
147,122,0
148,123,0
149,124,0
150,125,0
151,126,0
152,127,0
153,128,0
154,129,0
155,130,0
156,131,0
157,132,0
158,133,0
159,134,0
160,135,0
161,136,0
162,137,3
163,138,4
164,139,0
165,140,0
166,141,0
167,142,0
168,143,0
169,144,0
170,145,8
171,146,0
172,147,0
173,148,0
174,149,0
175,150,0
176,151,0
177,152,0
178,153,0
179,154,0
180,155,0
181,156,0
182,157,2
183,158,0
184,159,0
185,160,0
186,161,5
187,162,0
188,163,0
189,164,0
190,165,0
191,166,0
192,167,0
193,168,0
194,169,0
195,170,0
196,171,0
197,172,0
198,173,3
199,174,1
