episode,total_done,total_col
0,0,19
1,1,0
2,1,7
3,1,6
4,2,2
5,2,4
6,2,0
7,3,6
8,3,0
9,3,0
10,3,9
11,4,4
12,4,2
13,4,2
14,4,3
15,4,0
16,4,2
17,4,0
18,4,2
19,4,0
20,5,5
21,5,4
22,5,5
23,5,9
24,5,2
25,5,9
26,5,10
27,6,14
28,7,0
29,8,3
30,9,0
31,9,10
32,9,1
33,10,1
34,10,6
35,11,4
36,12,8
37,13,5
38,14,1
39,15,2
40,15,6
41,15,6
42,15,1
43,15,1
44,15,1
45,16,1
46,17,5
47,18,1
48,19,0
49,20,2
50,21,1
51,22,0
52,23,0
53,24,1
54,25,0
55,25,6
56,26,0
57,27,0
58,28,0
59,29,1
60,30,0
61,31,1
62,32,1
63,33,1
64,34,1
65,35,1
66,35,4
67,36,0
68,37,1
69,38,2
70,39,3
71,39,0
72,40,1
73,41,1
74,42,0
75,43,0
76,44,1
77,45,0
78,46,6
79,47,0
80,48,1
81,49,3
82,50,7
83,51,9
84,52,2
85,53,5
86,54,2
87,54,0
88,55,3
89,56,2
90,56,4
91,56,4
92,57,1
93,58,1
94,59,1
95,60,0
96,61,5
97,62,0
98,63,4
99,64,0
100,65,9
101,66,2
102,67,5
103,68,0
104,69,1
105,69,0
106,70,3
107,70,0
108,71,0
109,72,0
110,73,0
111,74,1
112,75,0
113,75,0
114,76,0
115,77,3
116,78,0
117,78,0
118,79,1
119,80,1
120,81,0
121,82,3
122,83,1
123,84,0
124,85,0
125,86,0
126,87,0
127,88,0
128,88,0
129,89,0
130,90,0
131,91,2
132,92,0
133,93,0
134,93,0
135,93,0
136,94,0
137,95,0
138,96,0
139,97,0
140,98,0
141,99,0
142,100,0
143,101,0
144,102,0
145,103,2
146,103,0
147,104,0
148,105,0
149,105,0
150,105,0
151,106,4
152,107,0
153,108,0
154,108,0
155,108,0
156,108,1
157,109,0
158,110,0
159,111,0
160,112,0
161,113,0
162,114,0
163,115,2
164,116,0
165,117,0
166,117,1
167,117,0
168,118,1
169,118,0
170,119,0
171,120,0
172,121,0
173,122,0
174,123,3
175,124,0
176,125,1
177,126,0
178,127,1
179,128,0
180,129,0
181,130,0
182,131,0
183,132,0
184,133,0
185,134,0
186,135,0
187,136,0
188,137,0
189,138,0
190,139,0
191,140,0
192,141,0
193,142,0
194,143,0
195,144,0
196,145,0
197,146,0
198,147,2
199,148,0
