episode,total_done,total_col
0,1,1
1,1,7
2,1,14
3,1,4
4,1,8
5,1,10
6,2,2
7,2,2
8,3,2
9,3,34
10,4,2
11,5,5
12,6,4
13,6,15
14,7,1
15,7,11
16,8,2
17,8,8
18,9,4
19,9,13
20,10,4
21,10,2
22,11,3
23,11,0
24,12,0
25,12,8
26,12,5
27,13,0
28,13,1
29,13,0
30,14,5
31,15,0
32,16,7
33,17,2
34,17,0
35,18,0
36,18,5
37,19,0
38,19,0
39,20,7
40,20,30
41,20,6
42,20,1
43,21,2
44,22,5
45,23,5
46,23,4
47,24,0
48,25,0
49,26,0
50,27,0
51,28,9
52,29,3
53,30,0
54,31,5
55,32,1
56,33,4
57,34,6
58,35,1
59,36,1
60,37,0
61,38,0
