episode,total_done,total_col
0,0,2
1,1,2
2,2,2
3,3,7
4,3,5
5,3,2
6,3,11
7,3,1
8,3,4
9,3,1
10,4,0
11,5,1
12,5,4
13,5,4
14,5,3
15,6,4
16,7,3
17,7,3
18,8,3
19,9,2
20,9,11
21,10,0
22,10,12
23,11,1
24,12,4
25,12,0
26,12,2
27,12,2
28,12,0
29,13,5
30,14,9
31,15,2
32,16,2
33,16,0
34,17,2
35,18,1
36,18,1
37,18,1
38,19,3
39,19,2
40,20,0
41,20,0
42,20,4
43,21,0
44,22,7
45,23,3
46,24,0
47,25,0
48,25,0
49,25,3
50,25,0
51,26,3
52,27,0
53,27,3
54,27,0
55,28,0
56,29,4
57,30,1
58,31,0
59,31,9
60,31,3
61,31,6
62,32,1
63,32,0
64,32,8
65,33,8
66,34,0
67,34,0
68,35,4
69,36,1
70,37,6
71,37,0
72,38,0
73,39,2
74,40,0
75,41,0
76,42,0
77,43,0
78,43,0
79,44,0
80,45,13
81,46,1
82,47,0
83,48,7
84,49,1
85,50,5
