episode,total_done,total_col,step
0,0,5,300
1,0,0,300
2,1,9,287
3,1,2,300
4,2,0,110
5,2,12,300
6,2,0,300
7,3,0,77
8,3,10,300
9,3,0,300
10,4,0,59
11,5,2,29
12,6,0,154
13,6,0,300
14,7,3,138
15,8,6,73
16,8,14,300
17,8,11,300
18,8,3,300
19,8,10,300
20,9,9,284
21,10,0,42
22,10,5,300
23,11,1,24
24,12,0,127
25,12,6,300
26,12,6,300
27,12,4,300
28,12,2,300
29,13,5,249
30,13,0,300
31,13,0,300
32,14,2,54
33,14,0,300
34,14,6,300
35,14,2,300
36,15,12,234
37,16,4,116
38,17,1,118
39,18,6,200
40,19,4,177
41,19,1,300
42,20,3,269
43,21,3,112
44,22,2,48
45,22,3,300
46,23,6,234
47,23,2,300
48,23,2,300
49,23,1,300
50,23,5,300
51,24,7,228
52,24,7,300
53,25,6,253
54,25,7,300
55,26,2,130
56,27,2,241
57,28,1,110
58,29,0,133
59,29,4,300
60,30,2,120
61,31,6,123
62,31,4,300
63,31,1,300
64,31,2,300
65,31,0,300
66,32,7,222
67,32,0,300
68,32,0,300
69,32,1,300
70,33,0,91
71,33,5,300
72,33,3,300
73,34,3,248
74,34,7,300
75,35,0,237
76,35,0,300
77,35,1,300
78,35,11,300
79,36,8,182
80,36,1,300
81,36,2,300
82,37,0,295
83,38,9,148
84,38,4,300
85,38,11,300
86,39,2,188
87,39,0,300
88,39,4,300
89,39,3,300
90,39,1,300
91,40,1,204
92,40,7,300
93,41,2,81
94,42,0,259
95,42,0,300
96,42,0,300
97,43,1,137
98,43,1,300
99,44,5,133
100,44,2,300
101,44,2,300
102,45,4,158
103,45,1,300
104,46,1,46
105,46,1,300
106,46,6,300
107,47,0,51
108,47,18,300
109,47,0,300
110,48,4,167
111,49,3,65
112,49,0,300
113,49,0,300
114,50,6,276
115,51,3,196
116,52,11,155
117,53,0,158
118,53,0,300
119,53,5,300
120,54,1,62
121,54,1,300
122,55,2,71
123,56,1,111
124,56,2,300
125,56,0,300
126,57,15,133
127,57,4,300
128,57,10,300
129,57,0,300
130,57,12,300
131,57,8,300
132,57,3,300
133,58,2,48
134,58,6,300
135,59,3,191
136,60,1,43
137,61,4,66
138,61,0,300
139,61,0,300
140,62,0,39
141,63,0,232
142,63,11,300
143,64,1,174
144,64,4,300
145,64,3,300
146,64,0,300
147,64,10,300
148,64,1,300
149,64,7,300
150,64,2,300
151,64,3,300
152,65,8,157
153,65,7,300
154,66,0,184
155,66,2,300
156,66,14,300
157,67,4,250
158,67,1,300
159,67,5,300
160,67,1,300
161,68,6,227
162,69,4,186
163,70,3,153
164,70,1,300
165,71,7,141
166,71,5,300
167,72,0,222
168,72,4,300
169,72,4,300
170,72,6,300
171,72,0,300
172,72,0,300
173,72,4,300
174,73,6,120
175,73,0,300
176,73,6,300
177,73,1,300
178,73,1,300
179,74,6,66
180,74,0,300
181,74,6,300
182,74,0,300
183,74,0,300
184,75,2,106
185,76,4,123
186,76,2,300
187,76,0,300
188,76,8,300
189,77,4,262
190,77,0,300
191,78,8,127
192,78,0,300
193,78,2,300
194,78,0,300
195,79,4,264
196,79,0,300
197,80,0,34
198,81,5,222
199,81,0,300
