Agent 0,Agent 1,avg,min,max,steps,trend
123.2,157.7,140.45,123.2,157.7,1,125.28777900722163
154.3,130.3,142.3,130.3,154.3,2,128.99092308640144
183.1,207.6,195.35,183.1,207.6,3,132.63143908459614
164.9,160.9,162.9,160.9,164.9,4,136.2098692132562
170.1,87.5,128.8,87.5,170.1,5,139.72675375716824
103.4,330.8,217.1,103.4,330.8,6,143.18263107445398
181.6,192.4,187.0,181.6,192.4,7,146.57803759657148
224.0,203.5,213.75,203.5,224.0,8,149.9135078283141
251.6,106.0,178.8,106.0,251.6,9,153.18957434781106
225.7,250.2,237.95,225.7,250.2,10,156.40676780652726
124.9,109.3,117.1,109.3,124.9,11,159.56561692926317
107.8,169.0,138.4,107.8,169.0,12,162.66664851415538
195.7,200.9,198.3,195.7,200.9,13,165.7103874326756
226.8,192.9,209.85,192.9,226.8,14,168.69735662963188
184.7,199.8,192.25,184.7,199.8,15,171.6280771231674
205.7,285.5,245.6,205.7,285.5,16,174.50306800476153
253.5,342.0,297.75,253.5,342.0,17,177.322846439229
177.9,241.0,209.45,177.9,241.0,18,180.08792766472044
272.6,319.9,296.25,272.6,319.9,19,182.79882499272213
292.1,290.3,291.20000000000005,290.3,292.1,20,185.4560498080561
324.9,244.3,284.6,244.3,324.9,21,188.06011156887993
299.5,198.8,249.15,198.8,299.5,22,190.61151780668726
297.4,298.1,297.75,297.4,298.1,23,193.11077412630706
231.0,230.9,230.95,230.9,231.0,24,195.55838420590416
149.7,241.0,195.35,149.7,241.0,25,197.9548497969791
328.4,153.5,240.95,153.5,328.4,26,200.30067072436816
348.5,164.5,256.5,164.5,348.5,27,202.59634488624337
285.0,276.4,280.7,276.4,285.0,28,204.84236825411236
245.1,199.2,222.15,199.2,245.1,29,207.0392348728185
243.1,194.0,218.55,194.0,243.1,30,209.18743686054083
133.9,128.0,130.95,128.0,133.9,31,211.28746440879428
184.1,50.3,117.2,50.3,184.1,32,213.33980578242932
295.1,197.8,246.45,197.8,295.1,33,215.34494731963204
249.6,161.9,205.75,161.9,249.6,34,217.30337343192448
311.6,183.8,247.7,183.8,311.6,35,219.21556660416434
207.2,163.2,185.2,163.2,207.2,36,221.08200739454495
213.0,108.3,160.65,108.3,213.0,37,222.90317443459523
204.8,102.3,153.55,102.3,204.8,38,224.6795444291801
246.2,61.6,153.9,61.6,246.2,39,226.41159215650003
245.7,148.2,196.95,148.2,245.7,40,228.0997904680912
282.5,15.4,148.95,15.4,282.5,41,229.74461028882544
200.2,88.4,144.3,88.4,200.2,42,231.34652061691037
245.8,66.9,156.35000000000002,66.9,245.8,43,232.90598852388936
149.4,20.2,84.8,20.2,149.4,44,234.42347915464154
298.8,68.7,183.75,68.7,298.8,45,235.89945572738142
210.3,116.5,163.4,116.5,210.3,46,237.33437953365956
216.9,87.4,152.15,87.4,216.9,47,238.7287099383622
176.6,113.1,144.85,113.1,176.6,48,240.08290437971107
199.9,54.9,127.4,54.9,199.9,49,241.39741836926387
150.2,68.9,109.55,68.9,150.2,50,242.67270549191375
202.3,129.7,166.0,129.7,202.3,51,243.90921740588988
128.5,128.9,128.7,128.5,128.9,52,245.10740384275675
211.1,138.3,174.7,138.3,211.1,53,246.267712607415
149.8,114.6,132.2,114.6,149.8,54,247.39058957810064
200.6,96.9,148.75,96.9,200.6,55,248.47647870638554
248.2,147.4,197.8,147.4,248.2,56,249.52582201717718
148.5,99.4,123.95,99.4,148.5,57,250.53905960871887
150.5,99.3,124.9,99.3,150.5,58,251.51662965258964
