Agent 0,Agent 1,avg,min,max,steps,trend
26.2,27.1,26.65,26.2,27.1,1,25.794601008591705
25.6,26.7,26.15,25.6,26.7,2,25.989244731595512
25.8,26.7,26.25,25.8,26.7,3,26.181584028230183
27.7,29.3,28.5,27.7,29.3,4,26.37163530343858
29.3,27.5,28.4,27.5,29.3,5,26.559414911122243
27.5,29.5,28.5,27.5,29.5,6,26.744939154141424
28.4,29.2,28.799999999999997,28.4,29.2,7,26.928224284315082
28.6,29.9,29.25,28.6,29.9,8,27.109286502420872
32.6,32.0,32.3,32.0,32.6,9,27.28814195819516
22.7,28.2,25.45,22.7,28.2,10,27.464806750333004
26.6,26.8,26.700000000000003,26.6,26.8,11,27.639296926488168
25.6,27.2,26.4,25.6,27.2,12,27.811628483273125
28.1,29.4,28.75,28.1,29.4,13,27.981817366259044
30.4,28.5,29.45,28.5,30.4,14,28.149879469975794
28.3,28.4,28.35,28.3,28.4,15,28.31583063791196
32.1,29.3,30.700000000000003,29.3,32.1,16,28.479686662514816
27.2,29.7,28.45,27.2,29.7,17,28.641463285190333
33.6,29.7,31.65,29.7,33.6,18,28.80117619630321
28.0,31.0,29.5,28.0,31.0,19,28.958841035176825
27.8,29.5,28.65,27.8,29.5,20,29.114473390093263
28.0,30.9,29.45,28.0,30.9,21,29.268088798293316
27.0,30.5,28.75,27.0,30.5,22,29.41970274597648
26.6,30.7,28.65,26.6,30.7,23,29.56933066830095
26.4,29.5,27.95,26.4,29.5,24,29.716987949383622
30.0,33.2,31.6,30.0,33.2,25,29.8626899223001
28.6,32.3,30.45,28.6,32.3,26,30.006451869084678
30.7,36.2,33.45,30.7,36.2,27,30.14828902073037
29.5,35.1,32.3,29.5,35.1,28,30.288216557188886
33.7,35.0,34.35,33.7,35.0,29,30.426249607370636
31.5,32.7,32.1,31.5,32.7,30,30.56240324914472
26.7,29.7,28.2,26.7,29.7,31,30.696692509338966
27.4,29.6,28.5,27.4,29.6,32,30.82913236373989
28.7,31.8,30.25,28.7,31.8,33,30.959737737092713
28.8,30.7,29.75,28.8,30.7,34,31.088523503101356
31.4,32.3,31.849999999999998,31.4,32.3,35,31.215504484428443
28.0,30.1,29.05,28.0,30.1,36,31.340695452695304
30.7,34.0,32.35,30.7,34.0,37,31.464111128481974
30.5,32.2,31.35,30.5,32.2,38,31.585766181327177
30.7,33.0,31.85,30.7,33.0,39,31.705675229728357
30.3,31.9,31.1,30.3,31.9,40,31.823852841141644
31.1,31.9,31.5,31.1,31.9,41,31.940313531981886
31.5,32.5,32.0,31.5,32.5,42,32.05507176762262
32.9,31.4,32.15,31.4,32.9,43,32.1681419623961
34.2,33.6,33.900000000000006,33.6,34.2,44,32.27953847959326
33.8,32.5,33.15,32.5,33.8,45,32.38927563146376
33.7,33.6,33.650000000000006,33.6,33.7,46,32.497367679215955
33.7,32.2,32.95,32.2,33.7,47,32.6038288330169
31.8,32.6,32.2,31.8,32.6,48,32.708673251992344
32.6,32.8,32.7,32.6,32.8,49,32.81191504422676
34.0,32.4,33.2,32.4,34.0,50,32.91356826676329
36.4,33.3,34.849999999999994,33.3,36.4,51,33.01364692560383
29.2,30.2,29.7,29.2,30.2,52,33.11216497570892
31.1,31.2,31.15,31.1,31.2,53,33.20913632099785
32.9,32.7,32.8,32.7,32.9,54,33.304574814348584
32.5,31.4,31.95,31.4,32.5,55,33.3984942575978
32.9,31.6,32.25,31.6,32.9,56,33.490908401540864
33.9,33.5,33.7,33.5,33.9,57,33.58183094593188
34.3,33.4,33.849999999999994,33.4,34.3,58,33.67127553948361
29.8,30.5,30.15,29.8,30.5,59,33.75925577986755
26.6,28.0,27.3,26.6,28.0,60,33.84578521371388
29.1,30.5,29.8,29.1,30.5,61,33.9308773366115
28.3,29.6,28.950000000000003,28.3,29.6,62,34.014545593108004
34.4,33.4,33.9,33.4,34.4,63,34.09680337670967
35.1,34.0,34.55,34.0,35.1,64,34.17766402988152
27.1,29.2,28.15,27.1,29.2,65,34.25714084404724
33.6,31.8,32.7,31.8,33.6,66,34.33524705958923
30.7,31.9,31.299999999999997,30.7,31.9,67,34.4119958658486
29.6,31.0,30.3,29.6,31.0,68,34.487400401125164
33.1,29.8,31.450000000000003,29.8,33.1,69,34.56147375267743
32.2,32.2,32.2,32.2,32.2,70,34.6342289567226
34.0,32.8,33.4,32.8,34.0,71,34.705678998436596
33.9,33.7,33.8,33.7,33.9,72,34.77583681195404
36.1,32.5,34.3,32.5,36.1,73,34.844715280368256
33.1,32.7,32.900000000000006,32.7,33.1,74,34.912327235731254
35.1,34.6,34.85,34.6,35.1,75,34.978685459053764
35.6,31.2,33.4,31.2,35.6,76,35.04380268030522
31.0,27.5,29.25,27.5,31.0,77,35.10769157841375
35.7,35.9,35.8,35.7,35.9,78,35.17036478126618
33.8,36.5,35.15,33.8,36.5,79,35.23183486570805
31.9,34.6,33.25,31.9,34.6,80,35.292114357543596
37.2,37.0,37.1,37.0,37.2,81,35.35121573153577
37.4,37.8,37.599999999999994,37.4,37.8,82,35.4091514114062
36.1,36.6,36.35,36.1,36.6,83,35.46593376983523
36.4,35.4,35.9,35.4,36.4,84,35.521575128461926
36.5,37.2,36.85,36.5,37.2,85,35.57608775788402
37.6,37.2,37.400000000000006,37.2,37.6,86,35.629483877657975
33.5,34.1,33.8,33.5,34.1,87,35.68177565629894
36.7,36.6,36.650000000000006,36.6,36.7,88,35.73297521128078
37.8,35.3,36.55,35.3,37.8,89,35.78309460903605
31.8,36.7,34.25,31.8,36.7,90,35.83214586495601
35.5,35.9,35.7,35.5,35.9,91,35.880140943390636
34.9,35.3,35.099999999999994,34.9,35.3,92,35.92709175764858
36.3,36.8,36.55,36.3,36.8,93,35.97301016999723
38.4,37.9,38.15,37.9,38.4,94,36.01790799166265
38.1,37.8,37.95,37.8,38.1,95,36.06179698282961
37.4,36.6,37.0,36.6,37.4,96,36.1046888526416
37.3,37.6,37.45,37.3,37.6,97,36.146595259200794
39.0,37.8,38.4,37.8,39.0,98,36.187527809568074
37.3,36.1,36.7,36.1,37.3,99,36.22749805976302
38.8,37.3,38.05,37.3,38.8,100,36.26651751476393
38.3,36.8,37.55,36.8,38.3,101,36.30459762850779
38.8,36.7,37.75,36.7,38.8,102,36.341749803890295
34.8,33.3,34.05,33.3,34.8,103,36.37798539276584
38.2,37.8,38.0,37.8,38.2,104,36.41331569594752
38.5,38.5,38.5,38.5,38.5,105,36.44775196320713
32.9,35.2,34.05,32.9,35.2,106,36.481305393275186
37.6,38.5,38.05,37.6,38.5,107,36.513987133840885
37.3,38.7,38.0,37.3,38.7,108,36.545808281552134
37.8,38.5,38.15,37.8,38.5,109,36.57677988201554
36.9,37.6,37.25,36.9,37.6,110,36.60691292979643
39.1,39.1,39.1,39.1,39.1,111,36.63621836841881
37.3,37.1,37.2,37.1,37.3,112,36.6647070903654
38.1,38.8,38.45,38.1,38.8,113,36.69238993707761
36.5,35.6,36.05,35.6,36.5,114,36.71927769895558
37.8,38.1,37.95,37.8,38.1,115,36.74538111535812
37.1,38.0,37.55,37.1,38.0,116,36.77071087460276
36.4,38.3,37.349999999999994,36.4,38.3,117,36.795277613965744
37.1,33.7,35.400000000000006,33.7,37.1,118,36.819091919681995
36.3,36.1,36.2,36.1,36.3,119,36.842164326945145
37.5,37.2,37.35,37.2,37.5,120,36.864505319907536
37.9,38.5,38.2,37.9,38.5,121,36.88612533168021
38.1,37.3,37.7,37.3,38.1,122,36.907034744332904
37.3,38.3,37.8,37.3,38.3,123,36.92724388889407
36.4,36.6,36.5,36.4,36.6,124,36.94676304535085
37.1,36.4,36.75,36.4,37.1,125,36.9656024426491
38.7,39.1,38.900000000000006,38.7,39.1,126,36.983772258693364
39.1,35.9,37.5,35.9,39.1,127,37.001282620346906
37.4,38.6,38.0,37.4,38.6,128,37.01814360343168
34.1,35.7,34.900000000000006,34.1,35.7,129,37.03436523272834
37.6,39.2,38.400000000000006,37.6,39.2,130,37.049957481976264
39.0,38.7,38.85,38.7,39.0,131,37.06493027387351
38.1,39.0,38.55,38.1,39.0,132,37.079293480076835
38.8,39.1,38.95,38.8,39.1,133,37.09305692120172
35.7,36.6,36.150000000000006,35.7,36.6,134,37.10623036682234
35.7,35.4,35.55,35.4,35.7,135,37.11882353547156
33.4,33.5,33.45,33.4,33.5,136,37.13084609464097
30.4,33.7,32.05,30.4,33.7,137,37.142307660780844
32.5,32.0,32.25,32.0,32.5,138,37.15321779930016
38.2,37.5,37.85,37.5,38.2,139,37.16358602456661
37.3,39.2,38.25,37.3,39.2,140,37.17342179990658
35.8,34.5,35.15,34.5,35.8,141,37.18273453760516
34.3,35.7,35.0,34.3,35.7,142,37.19153359890614
30.0,28.5,29.25,28.5,30.0,143,37.19982829401202
35.6,35.3,35.45,35.3,35.6,144,37.207627882084
33.7,35.4,34.55,33.7,35.4,145,37.214941571241965
