episode,total_done,total_col,step
0,1,0,190
1,1,7,300
2,1,0,300
3,2,0,133
4,2,1,300
5,2,2,300
6,2,4,300
7,3,0,196
8,3,4,300
9,4,0,220
10,5,3,46
11,5,5,300
12,6,0,283
13,6,5,300
14,7,0,291
15,7,0,300
16,7,7,300
17,8,3,131
18,8,6,300
19,9,0,269
20,9,0,300
21,10,0,296
22,10,8,300
23,11,3,52
24,12,0,259
25,12,0,300
26,12,0,300
27,13,0,269
28,13,4,300
29,13,14,300
30,13,2,300
31,13,7,300
32,13,6,300
33,14,2,239
34,14,0,300
35,14,5,300
36,15,0,260
37,15,0,300
38,16,1,27
39,17,0,255
40,17,11,300
41,18,3,192
42,18,1,300
43,19,4,282
44,19,0,300
45,19,3,300
46,19,0,300
47,20,10,253
48,20,3,300
49,21,7,259
50,22,0,152
51,22,1,300
52,22,3,300
53,22,5,300
54,22,8,300
55,23,0,208
56,23,5,300
57,23,0,300
58,24,5,59
59,25,3,157
60,26,3,237
61,27,5,79
62,27,4,300
63,27,0,300
64,27,2,300
65,27,5,300
66,27,1,300
67,27,0,300
68,27,1,300
69,27,0,300
70,28,3,224
71,29,1,205
72,29,0,300
73,29,1,300
74,29,1,300
75,29,2,300
76,29,0,300
77,30,1,140
78,31,0,172
79,31,14,300
80,31,0,300
81,32,1,72
82,32,2,300
83,32,10,300
84,32,3,300
85,32,0,300
86,32,1,300
87,32,0,300
88,32,13,300
89,33,0,238
90,33,2,300
91,33,4,300
92,34,7,247
93,35,3,136
94,36,2,25
95,36,1,300
96,36,2,300
97,37,2,48
98,37,3,300
99,38,4,222
100,38,5,300
101,39,3,117
102,39,1,300
103,39,1,300
104,39,0,300
105,39,5,300
106,39,0,300
107,39,7,300
108,39,1,300
109,40,1,67
110,40,6,300
111,40,0,300
112,40,0,300
113,40,0,300
114,41,10,203
115,41,1,300
116,42,1,273
117,42,0,300
118,42,0,300
119,42,0,300
120,42,1,300
121,42,0,300
122,42,0,300
123,43,0,286
124,43,2,300
125,43,0,300
126,43,0,300
127,43,2,300
128,43,1,300
129,44,3,295
130,45,0,154
131,45,0,300
132,45,2,300
133,45,14,300
134,45,1,300
135,46,0,279
136,46,0,300
137,46,0,300
138,47,4,93
139,48,2,16
140,48,0,300
141,48,0,300
142,48,6,300
143,48,2,300
144,48,0,300
145,48,1,300
146,48,3,300
147,48,4,300
148,48,10,300
149,48,6,300
150,49,0,136
151,49,0,300
152,49,0,300
153,50,0,179
154,51,6,293
155,51,0,300
156,51,8,300
157,51,0,300
158,52,10,94
159,52,0,300
160,53,0,197
161,53,19,300
162,54,3,197
163,54,1,300
164,54,12,300
165,55,4,131
166,55,4,300
167,55,6,300
168,55,0,300
169,55,15,300
170,55,3,300
171,55,6,300
172,55,0,300
173,55,2,300
174,55,0,300
175,55,2,300
176,56,1,131
177,56,1,300
178,57,6,260
179,57,1,300
180,57,0,300
181,58,1,83
182,58,3,300
183,59,4,166
184,59,8,300
185,60,2,123
186,61,0,290
187,61,1,300
188,62,1,196
189,63,10,189
190,63,1,300
191,63,1,300
192,63,6,300
193,63,1,300
194,64,2,137
195,64,1,300
196,64,0,300
197,65,0,65
198,65,0,300
199,65,3,300
