episode,total_done,total_col,step
0,1,0,28
1,1,6,300
2,1,9,300
3,1,0,300
4,2,6,206
5,2,2,300
6,2,0,300
7,3,6,213
8,3,7,300
9,3,3,300
10,3,6,300
11,3,8,300
12,3,0,300
13,4,1,122
14,4,0,300
15,5,1,88
16,6,3,282
17,6,7,300
18,6,4,300
19,7,1,35
20,7,0,300
21,7,0,300
22,7,13,300
23,8,0,148
24,9,0,219
25,9,4,300
26,9,0,300
27,9,0,300
28,10,5,82
29,10,0,300
30,11,4,172
31,11,6,300
32,11,3,300
33,11,6,300
34,11,0,300
35,11,0,300
36,12,1,200
37,12,4,300
38,12,3,300
39,13,1,131
40,13,0,300
41,14,1,124
42,14,1,300
43,14,1,300
44,14,0,300
45,15,2,137
46,16,1,250
47,16,7,300
48,17,3,261
49,18,0,44
50,18,3,300
51,18,4,300
52,18,0,300
53,18,3,300
54,18,13,300
55,18,11,300
56,19,2,91
57,20,4,145
58,20,3,300
59,20,4,300
60,21,3,272
61,21,3,300
62,21,6,300
63,21,2,300
64,21,0,300
65,22,6,238
66,22,0,300
67,22,6,300
68,22,0,300
69,22,11,300
70,22,4,300
71,22,6,300
72,22,6,300
73,22,0,300
74,22,1,300
75,22,4,300
76,23,0,285
77,23,14,300
78,23,1,300
79,23,1,300
80,23,0,300
81,23,0,300
82,24,1,185
83,25,0,154
84,25,1,300
85,26,0,218
86,27,0,111
87,27,1,300
88,27,0,300
89,28,2,248
90,29,0,43
91,29,1,300
92,29,2,300
93,29,8,300
94,29,10,300
95,30,5,254
96,30,0,300
97,30,2,300
98,31,2,37
99,31,3,300
100,31,1,300
101,31,3,300
102,31,6,300
103,31,5,300
104,31,0,300
105,32,0,80
106,32,6,300
107,32,0,300
108,33,7,241
109,33,2,300
110,34,0,68
111,34,4,300
112,35,15,289
113,35,6,300
114,35,1,300
115,35,7,300
116,35,4,300
117,35,1,300
118,36,1,158
119,37,2,37
120,37,5,300
121,37,4,300
122,37,2,300
123,38,8,294
124,38,0,300
125,38,0,300
126,38,1,300
127,38,1,300
128,38,3,300
129,38,0,300
130,38,1,300
131,38,1,300
132,39,1,121
133,39,1,300
134,39,1,300
135,40,1,31
136,40,6,300
137,40,1,300
138,40,4,300
139,40,9,300
140,41,3,288
141,41,7,300
142,42,1,140
143,42,2,300
144,43,3,66
145,43,14,300
146,44,6,134
147,45,2,254
148,45,0,300
149,45,2,300
150,46,4,187
151,47,5,244
152,47,0,300
153,47,2,300
154,47,0,300
155,48,2,123
156,48,8,300
157,48,2,300
158,49,1,167
159,50,0,36
160,50,3,300
161,51,6,96
162,52,0,74
163,52,2,300
164,53,0,35
165,53,0,300
166,54,0,269
167,55,6,41
168,56,0,125
169,57,1,209
170,58,2,225
171,59,10,291
172,60,2,29
173,61,2,216
174,62,2,168
175,62,0,300
176,62,0,300
177,62,7,300
178,62,2,300
179,62,2,300
180,63,3,204
181,64,1,48
182,64,0,300
183,64,6,300
184,65,3,159
185,66,3,152
186,66,3,300
187,67,4,224
188,67,2,300
189,67,0,300
190,67,3,300
191,68,0,238
192,68,1,300
193,68,0,300
194,68,1,300
195,69,2,81
196,70,5,125
197,70,3,300
198,70,1,300
199,71,2,116
