episode,total_done,total_col,step
0,1,4,96
1,1,3,300
2,2,6,260
3,3,3,91
4,3,9,300
5,3,3,300
6,4,8,107
7,4,17,300
8,4,4,300
9,5,6,266
10,5,0,300
11,5,9,300
12,5,1,300
13,6,8,193
14,6,3,300
15,6,0,300
16,6,1,300
17,6,0,300
18,6,3,300
19,6,1,300
20,6,1,300
21,6,1,300
22,6,4,300
23,7,2,181
24,7,0,300
25,8,4,244
26,9,4,107
27,10,5,160
28,10,3,300
29,11,0,285
30,11,14,300
31,11,2,300
32,12,0,185
33,13,7,232
34,13,2,300
35,13,8,300
36,13,0,300
37,13,16,300
38,13,3,300
39,13,4,300
40,13,7,300
41,13,4,300
42,13,1,300
43,14,0,258
44,15,10,149
45,15,7,300
46,15,4,300
47,16,1,82
48,17,1,225
49,17,0,300
50,18,3,40
51,18,3,300
52,18,1,300
53,19,5,56
54,19,11,300
55,20,1,182
56,21,7,158
57,22,1,113
58,22,2,300
59,22,3,300
60,23,1,36
61,23,4,300
62,23,0,300
63,24,3,250
64,24,0,300
65,24,5,300
66,24,3,300
67,24,12,300
68,25,4,140
69,26,1,181
70,26,0,300
71,27,2,226
72,28,6,114
73,28,1,300
74,28,12,300
75,29,7,255
76,30,2,172
77,30,8,300
78,30,0,300
79,31,3,229
80,31,4,300
81,32,0,73
82,32,0,300
83,32,3,300
84,33,3,74
85,33,0,300
86,33,9,300
87,34,1,281
88,34,0,300
89,34,15,300
90,34,6,300
91,34,23,300
92,34,1,300
93,34,1,300
94,34,1,300
95,35,3,164
96,36,0,201
97,36,2,300
98,36,0,300
99,36,1,300
100,36,4,300
101,36,0,300
102,37,3,181
103,37,5,300
104,37,1,300
105,38,6,146
106,39,1,174
107,40,1,204
108,40,0,300
109,40,2,300
110,41,5,115
111,42,1,113
112,42,1,300
113,42,19,300
114,42,0,300
115,42,3,300
116,42,3,300
117,42,0,300
118,42,0,300
119,42,0,300
120,43,2,98
121,43,1,300
122,44,0,46
123,44,0,300
124,45,8,98
125,46,13,177
126,47,3,118
127,47,5,300
128,47,0,300
129,47,0,300
130,47,0,300
131,48,4,151
132,49,3,121
133,50,6,62
134,50,0,300
135,50,2,300
136,50,7,300
137,50,6,300
138,50,1,300
139,51,5,108
140,52,1,78
141,52,0,300
142,52,1,300
143,53,8,283
144,54,9,222
145,55,3,84
146,55,2,300
147,55,1,300
148,56,0,24
149,56,0,300
150,57,3,270
151,58,4,161
152,58,3,300
153,59,2,30
154,59,1,300
155,59,0,300
156,59,3,300
157,59,0,300
158,59,3,300
159,60,8,195
160,60,9,300
161,60,3,300
162,61,0,137
163,61,6,300
164,61,1,300
165,61,9,300
166,61,3,300
167,62,1,114
168,63,5,215
169,64,3,80
170,65,2,111
171,66,2,100
172,67,2,97
173,67,5,300
174,68,1,69
175,68,4,300
176,68,0,300
177,68,0,300
178,68,1,300
179,68,2,300
180,68,7,300
181,68,15,300
182,68,2,300
183,68,1,300
184,69,1,273
185,69,3,300
186,69,0,300
187,69,13,300
188,70,4,98
189,71,0,87
190,71,7,300
191,72,0,65
192,73,0,231
193,73,5,300
194,74,5,273
195,74,0,300
196,75,0,78
197,75,6,300
198,75,0,300
199,75,3,300
