episode,total_done,total_col,step
0,1,3,318
1,1,4,500
2,2,10,215
3,2,0,500
4,2,9,500
5,3,3,265
6,3,3,500
7,4,1,149
8,5,9,329
9,6,1,121
10,6,9,500
11,6,11,500
12,6,13,500
13,7,3,57
14,7,0,500
15,7,19,500
16,8,0,15
17,9,2,122
18,10,11,210
19,11,0,178
20,12,0,110
21,12,11,500
22,12,4,500
23,13,1,126
24,13,0,500
25,13,2,500
26,13,8,500
27,14,0,340
28,14,10,500
29,14,0,500
30,15,11,329
31,16,6,429
32,17,2,235
33,17,0,500
34,18,11,439
35,19,3,326
36,19,17,500
37,20,10,432
38,20,0,500
39,21,1,31
40,21,0,500
41,22,2,105
42,23,4,26
43,24,3,55
44,24,6,500
45,24,3,500
46,25,9,389
47,26,1,122
48,27,8,445
49,27,5,500
50,27,9,500
51,28,10,182
52,29,4,342
53,30,0,125
54,30,6,500
55,31,0,115
56,32,5,125
57,33,3,27
58,34,0,148
59,35,6,107
60,36,5,46
61,37,10,302
62,38,0,352
63,39,6,166
64,40,3,33
65,41,2,56
66,41,4,500
67,41,4,500
68,42,3,154
69,43,3,50
70,44,3,82
71,45,5,42
72,46,1,102
73,47,13,151
74,48,0,55
75,49,4,319
76,50,5,165
77,51,2,25
78,52,3,20
79,52,0,500
80,53,6,57
81,53,0,500
82,54,3,56
83,55,5,240
84,56,0,171
85,57,0,98
86,58,2,54
87,59,1,245
88,60,4,45
89,61,3,168
90,62,0,33
91,63,3,24
92,64,0,76
93,65,0,30
94,66,0,83
95,67,3,23
96,68,0,60
97,69,3,467
98,70,0,41
99,71,1,48
100,72,1,19
101,73,1,43
102,74,3,104
103,75,0,24
104,76,1,209
105,77,2,38
106,77,9,500
107,77,0,500
108,78,8,171
109,79,4,34
110,80,0,147
111,81,3,32
112,82,4,24
113,83,2,26
114,84,6,93
115,85,1,23
116,86,2,362
117,87,2,18
118,88,2,28
119,89,6,68
120,90,10,44
121,91,4,30
122,92,2,13
123,93,2,28
124,94,19,55
125,95,0,178
126,96,5,32
127,97,0,20
128,98,1,23
129,99,1,19
130,100,0,17
131,101,2,44
132,102,0,20
133,103,0,88
134,104,1,11
135,105,0,141
136,106,1,12
137,107,2,26
138,108,0,11
139,109,0,37
140,110,0,59
141,111,2,57
142,112,1,23
143,113,2,124
144,114,1,81
145,115,0,31
146,116,5,53
147,117,0,29
148,117,0,500
149,118,0,13
150,119,0,64
151,119,0,500
152,120,4,55
153,121,1,44
154,122,4,55
155,122,1,500
156,123,0,15
157,124,0,15
158,125,0,74
159,126,0,18
160,127,0,19
161,128,0,9
162,129,0,45
163,130,1,27
164,131,0,56
165,132,0,36
166,133,0,17
167,134,1,20
168,135,0,31
169,136,1,26
170,137,1,24
171,137,1,500
172,138,1,24
173,139,1,16
174,140,14,115
175,141,3,29
176,142,0,21
177,143,0,19
178,144,0,16
179,145,1,40
180,146,0,66
181,147,19,91
182,148,0,15
183,149,0,32
184,150,0,9
185,151,0,65
186,152,0,15
187,153,1,27
188,154,0,15
189,155,0,12
190,155,2,500
191,156,1,27
192,157,0,28
193,157,2,500
194,158,0,23
195,159,0,45
196,160,0,10
197,161,1,12
198,162,0,31
199,163,1,106
