Agent 0,Agent 1
0,0
0,473
0,0
0,1
0,1
0,491
498,0
0,0
499,0
0,0
0,5
0,0
0,1
4,4
1,1
0,0
0,0
1,0
0,462
0,496
0,0
0,497
0,499
0,499
0,440
499,0
500,78
28,442
0,2
0,4
0,498
0,0
485,1
498,1
493,0
2,0
0,498
0,497
499,0
1,498
498,2
3,0
496,0
498,0
498,0
3,0
497,1
2,0
496,1
0,181
0,19
1,499
117,385
0,206
0,457
1,486
0,493
6,494
8,493
2,500
0,0
0,0
3,498
1,499
0,499
0,0
0,498
1,497
2,500
0,498
2,498
0,498
2,500
1,496
1,497
2,498
2,498
2,499
2,492
4,500
1,498
2,500
2,497
2,302
3,498
2,499
2,498
3,499
2,498
0,497
0,0
0,499
2,499
2,499
0,329
0,0
2,499
0,0
2,498
0,498
0,499
0,0
0,500
2,499
0,498
0,499
1,499
2,498
2,500
3,498
3,499
2,498
1,498
0,499
0,0
24,499
499,497
0,0
500,498
0,499
498,499
498,499
498,499
497,499
499,498
0,500
0,0
499,499
499,499
497,499
498,499
497,499
497,499
499,499
499,499
500,497
497,497
498,499
499,497
498,499
499,499
499,501
499,499
500,498
497,498
454,454
499,501
499,499
497,499
499,498
499,498
498,499
0,500
499,499
497,498
500,498
498,498
498,498
500,499
498,499
0,499
498,498
0,0
498,498
498,498
497,498
0,0
499,499
498,500
0,499
497,498
499,499
498,498
144,142
499,498
0,500
498,499
495,499
499,498
500,498
0,499
0,0
0,0
1,498
0,1
1,53
0,499
0,0
2,498
1,498
54,497
322,496
0,499
0,0
497,0
499,500
500,0
0,0
0,0
0,0
500,498
0,0
500,0
0,0
0,0
0,498
0,498
0,0
0,0
407,498
499,185
477,0
0,498
0,500
0,498
0,499
0,405
0,426
0,0
0,0
0,498
500,0
0,0
462,0
0,26
0,485
0,499
500,0
0,0
0,498
0,4
0,485
0,500
0,367
0,483
0,0
0,499
0,0
500,0
0,0
0,1
0,12
0,0
1,0
0,0
0,1
0,0
4,74
0,196
92,48
500,492
0,0
500,231
0,493
500,472
0,495
0,499
0,499
0,498
0,0
499,0
500,0
0,0
0,484
0,499
87,54
0,41
0,0
499,0
0,2
0,1
498,0
0,3
0,497
179,499
0,0
494,497
499,0
498,0
0,114
494,497
0,126
0,472
0,500
486,361
452,500
356,70
0,500
0,0
0,438
11,0
478,0
0,499
495,0
0,278
0,496
0,30
0,497
0,0
500,0
0,498
240,198
263,0
476,498
104,0
0,0
0,0
472,0
0,0
499,445
500,500
0,469
0,498
1,0
0,496
0,0
0,0
0,0
500,500
0,499
490,493
0,0
0,472
0,500
0,102
0,1
0,0
0,0
0,0
0,0
0,497
499,0
0,0
0,493
500,0
0,499
0,17
499,459
0,0
0,500
498,268
0,0
0,499
0,1
0,499
0,0
497,499
498,499
0,0
0,123
1,0
0,0
0,0
499,480
498,500
0,0
500,499
0,163
0,431
499,498
498,500
499,500
0,0
0,1
0,0
499,498
0,34
442,442
500,494
498,498
498,497
495,497
496,499
315,496
407,498
0,499
0,0
1,499
1,0
0,499
1,499
499,0
0,0
40,459
0,0
0,0
0,499
499,498
498,499
0,0
0,60
0,0
0,0
498,498
499,0
500,498
1,102
1,497
1,0
239,498
0,499
480,497
495,499
497,499
498,499
499,499
497,497
498,499
495,495
0,498
498,499
499,499
497,497
498,499
495,495
496,495
0,499
0,0
0,499
0,0
0,500
500,500
0,0
0,499
1,417
0,0
497,0
439,449
0,425
0,476
0,0
498,499
499,499
497,497
498,499
495,495
496,495
463,0
0,0
498,499
499,499
497,497
498,499
495,495
496,495
500,0
500,1
498,499
499,499
497,497
498,499
495,495
496,495
498,499
499,499
497,497
498,499
495,495
498,499
499,499
497,497
498,499
495,495
496,495
498,499
499,499
497,497
498,499
495,495
496,495
0,0
95,495
496,495
498,499
499,499
497,497
498,499
495,495
0,497
493,0
498,499
499,499
497,497
498,499
495,495
496,495
0,0
494,0
0,0
496,496
499,0
500,0
0,0
439,0
489,500
500,497
498,499
499,499
497,497
498,499
