episode,mean_done,stderr_done,upper_done,lower_done,mean_col,stderr_col,upper_col,lower_col
0,0.1111111111111111,0.11111111111111115,0.22222222222222227,-4.163336342344337e-17,3.888888888888889,1.989168198885351,5.8780570877742395,1.899720690003538
1,0.4444444444444444,0.17568209223157663,0.620126536676021,0.2687623522128678,4.222222222222222,1.3517250067329376,5.57394722895516,2.8704972154892845
2,1.0,0.23570226039551587,1.235702260395516,0.7642977396044841,3.7777777777777777,1.469861839480328,5.2476396172581055,2.30791593829745
3,1.5555555555555556,0.2421610524189263,1.797716607974482,1.3133945031366292,4.666666666666667,0.726483157256779,5.393149823923446,3.940183509409888
4,1.8888888888888888,0.26057865332352387,2.1494675422124128,1.628310235565365,2.7777777777777777,1.0642913367037787,3.842069114481556,1.713486441073999
5,2.111111111111111,0.26057865332352387,2.371689764434635,1.8505324577875872,4.777777777777778,1.24474202791156,6.022519805689337,3.533035749866218
6,2.6666666666666665,0.28867513459481287,2.955341801261479,2.377991532071854,5.0,1.4813657362192647,6.4813657362192645,3.5186342637807355
7,3.3333333333333335,0.3333333333333333,3.666666666666667,3.0,2.5555555555555554,0.5800170282728084,3.1355725838283637,1.975538527282747
8,3.4444444444444446,0.29397236789606557,3.7384168123405104,3.150472076548379,4.555555555555555,1.2705107362254746,5.82606629178103,3.2850448193300807
9,3.5555555555555554,0.29397236789606557,3.849527923451621,3.2615831876594896,6.555555555555555,2.7391762301380105,9.294731785693566,3.816379325417545
10,3.7777777777777777,0.2777777777777778,4.055555555555555,3.5,4.444444444444445,1.2921892610681118,5.736633705512556,3.152255183376333
11,4.333333333333333,0.37267799624996495,4.706011329583298,3.960655337083368,3.0,0.7993052538854531,3.799305253885453,2.200694746114547
12,4.666666666666667,0.40824829046386296,5.07491495713053,4.258418376202804,5.777777777777778,1.9420620325498374,7.719839810327615,3.8357157452279402
13,4.888888888888889,0.42309850588132814,5.311987394770218,4.465790383007561,5.333333333333333,1.452966314513558,6.786299647846891,3.8803670188197747
14,5.555555555555555,0.4444444444444445,6.0,5.111111111111111,1.2222222222222223,0.4006168083848877,1.62283903060711,0.8216054138373345
15,5.666666666666667,0.4409585518440984,6.107625218510766,5.225708114822568,8.666666666666666,1.8257418583505538,10.49240852501722,6.840924808316112
16,6.222222222222222,0.5471587667664503,6.769380988988672,5.675063455455772,1.7777777777777777,0.2777777777777778,2.0555555555555554,1.5
17,6.333333333333333,0.5773502691896258,6.910683602522959,5.755983064143707,2.888888888888889,0.7718024438583225,3.6606913327472115,2.117086445030566
18,6.555555555555555,0.6478835438717001,7.203439099427255,5.9076720116838555,4.333333333333333,1.2472191289246473,5.58055246225798,3.086114204408686
19,7.0,0.726483157256779,7.726483157256779,6.273516842743221,6.555555555555555,1.9228964777640867,8.478452033319641,4.632659077791469
20,7.666666666666667,0.7993052538854534,8.46597192055212,6.8673614127812135,2.6666666666666665,1.1902380714238083,3.856904738090475,1.4764285952428582
21,8.0,0.8819171036881969,8.881917103688197,7.118082896311803,3.7777777777777777,1.7060169480871206,5.4837947258648985,2.071760829690657
