episode,mean_done,stderr_done,upper_done,lower_done,mean_col,stderr_col,upper_col,lower_col
0,0.3333333333333333,0.16666666666666666,0.5,0.16666666666666666,6.555555555555555,2.3339946152888893,8.889550170844444,4.2215609402666665
1,0.8888888888888888,0.26057865332352387,1.1494675422124128,0.6283102355653649,6.111111111111111,1.9961382470246314,8.107249358135743,4.1149728640864796
2,1.1111111111111112,0.26057865332352387,1.371689764434635,0.8505324577875872,3.888888888888889,0.9196080754026026,4.808496964291491,2.9692808134862863
3,1.4444444444444444,0.2939723678960656,1.73841681234051,1.150472076548379,4.777777777777778,1.6311020284336886,6.408879806211466,3.146675749344089
4,1.7777777777777777,0.32394177193585005,2.1017195497136276,1.4538360058419277,3.4444444444444446,1.1317527104146314,4.576197154859076,2.312691734029813
5,2.0,0.40824829046386296,2.408248290463863,1.591751709536137,4.444444444444445,1.8790593916986404,6.323503836143085,2.565385052745804
6,2.6666666666666665,0.47140452079103173,3.1380711874576983,2.1952621458756347,4.555555555555555,1.8864363162610716,6.441991871816627,2.669119239294484
7,3.111111111111111,0.4230985058813282,3.5342096169924395,2.688012605229783,5.111111111111111,1.2741494379088572,6.385260549019968,3.8369616732022536
8,3.6666666666666665,0.4409585518440984,4.107625218510765,3.2257081148225684,4.111111111111111,1.4476460245328202,5.558757135643931,2.6634650865782907
9,3.7777777777777777,0.49378857873975496,4.271566356517533,3.2839891990380226,5.888888888888889,2.143753486841638,8.032642375730527,3.7451354020472514
10,4.222222222222222,0.6186404847588913,4.840862706981113,3.603581737463331,6.888888888888889,2.3596400646217,9.24852895351059,4.529248824267189
11,4.333333333333333,0.6236095644623236,4.956942897795656,3.7097237688710094,4.666666666666667,1.51840559652405,6.185072263190717,3.148261070142617
12,4.888888888888889,0.6961091158967595,5.584998004785649,4.19277977299213,8.222222222222221,3.294683334040608,11.516905556262829,4.927538888181614
13,5.222222222222222,0.6620208493229436,5.884243071545166,4.560201372899279,6.0,2.0207259421636903,8.02072594216369,3.9792740578363097
14,5.555555555555555,0.7286042804780001,6.284159836033555,4.826951275077556,4.444444444444445,1.5102530243409096,5.954697468785354,2.9341914201035353
15,6.333333333333333,0.6871842709362768,7.02051760426961,5.646149062397056,6.333333333333333,1.2909944487358056,7.624327782069138,5.042338884597528
16,6.666666666666667,0.7637626158259735,7.43042928249264,5.902904050840694,5.444444444444445,2.7593835418194765,8.20382798626392,2.685060902624968
17,6.888888888888889,0.8069910581296641,7.695879947018553,6.0818978307592255,8.222222222222221,2.3200681130912337,10.542290335313455,5.902154109130988
18,7.0,0.7817359599705717,7.781735959970572,6.218264040029428,4.666666666666667,1.452966314513558,6.119632981180225,3.2137003521531087
19,7.333333333333333,0.7993052538854534,8.132638587218786,6.5340280794478796,4.888888888888889,1.4185717038670784,6.307460592755968,3.470317185021811
20,7.777777777777778,0.7777777777777777,8.555555555555555,7.0,3.6666666666666665,1.343709624716425,5.010376291383092,2.322957041950241
21,8.0,0.7453559924999299,8.74535599249993,7.25464400750007,3.7777777777777777,0.9686442096757052,4.746421987453483,2.8091335681020726
22,8.11111111111111,0.7535922203472522,8.864703331458363,7.357518890763859,4.333333333333333,1.69148192751537,6.024815260848703,2.641851405817963
23,8.222222222222221,0.8127077132404329,9.034929935462655,7.409514508981789,5.0,1.414213562373095,6.414213562373095,3.585786437626905
24,8.666666666666666,0.8333333333333334,9.5,7.833333333333333,7.888888888888889,2.4520084989682123,10.340897387857101,5.4368803899206775
25,9.0,0.8819171036881969,9.881917103688197,8.118082896311803,5.444444444444445,1.3653561919382786,6.8098006363827235,4.079088252506166
