episode,mean_done,stderr_done,upper_done,lower_done,mean_col,stderr_col,upper_col,lower_col
0,0.6,0.16329931618554522,0.7632993161855453,0.43670068381445476,2.9,1.0376254944182253,3.937625494418225,1.8623745055817746
1,1.3,0.21343747458109494,1.513437474581095,1.086562525418905,5.1,1.8223915910448858,6.922391591044885,3.277608408955114
2,2.0,0.21081851067789192,2.2108185106778917,1.789181489322108,4.3,0.9666666666666666,5.266666666666667,3.333333333333333
3,2.3,0.3,2.5999999999999996,1.9999999999999998,1.3,0.5587684871413403,1.8587684871413404,0.7412315128586597
4,2.6,0.39999999999999997,3.0,2.2,4.7,1.3420548092798263,6.0420548092798265,3.357945190720174
5,3.3,0.44845413490245695,3.748454134902457,2.8515458650975427,3.0,0.9775252199076786,3.9775252199076787,2.0224747800923213
6,3.9,0.4333333333333333,4.333333333333333,3.466666666666667,2.8,1.1999999999999997,3.9999999999999996,1.6
7,4.4,0.49888765156985887,4.89888765156986,3.9011123484301415,3.0,0.5962847939999438,3.596284793999944,2.403715206000056
8,4.9,0.48189440982669873,5.381894409826699,4.418105590173302,3.7,1.358512258154322,5.058512258154322,2.341487741845678
9,5.4,0.5617433182117572,5.961743318211758,4.838256681788243,3.0,1.0327955589886444,4.032795558988644,1.9672044410113556
10,5.9,0.5666666666666667,6.466666666666667,5.333333333333334,3.0,0.9309493362512626,3.9309493362512624,2.0690506637487376
11,6.3,0.5587684871413402,6.85876848714134,5.7412315128586595,3.6,1.1274356350191843,4.727435635019185,2.4725643649808156
12,6.8,0.6289320754704403,7.42893207547044,6.171067924529559,10.5,2.2718078948518317,12.771807894851833,8.228192105148167
13,7.4,0.7180219742846004,8.1180219742846,6.6819780257154004,2.4,0.8969082698049139,3.2969082698049137,1.5030917301950861
14,7.9,0.8225975119502045,8.722597511950205,7.077402488049795,4.6,1.4391355429948602,6.03913554299486,3.1608644570051396
15,8.8,0.8406346808612327,9.640634680861233,7.959365319138768,3.9,1.8223915910448858,5.722391591044886,2.077608408955114
16,9.6,0.8589399151150083,10.458939915115009,8.74106008488499,4.0,1.0110500592068734,5.011050059206873,2.988949940793127
17,10.3,0.8034647195462633,11.103464719546263,9.496535280453738,3.2,1.0413666234542205,4.241366623454221,2.1586333765457795
18,10.9,0.8225975119502045,11.722597511950205,10.077402488049795,4.9,2.1574161500379208,7.0574161500379216,2.7425838499620796
19,11.4,0.8589399151150082,12.25893991511501,10.541060084884991,2.8,1.4666666666666666,4.266666666666667,1.3333333333333333
20,11.9,0.9597453365925313,12.859745336592532,10.940254663407469,3.6,1.1944315244779278,4.794431524477928,2.405568475522072
21,12.6,0.9333333333333332,13.533333333333333,11.666666666666666,3.0,1.1352924243950933,4.135292424395093,1.8647075756049067
22,12.9,1.0049875621120892,13.90498756211209,11.89501243788791,3.8,1.1333333333333333,4.933333333333334,2.6666666666666665
23,13.4,1.0873004286866725,14.487300428686673,12.312699571313328,3.5,1.6616591440819357,5.161659144081936,1.8383408559180643
24,14.0,1.1352924243950933,15.135292424395093,12.864707575604907,1.6,0.3711842908553348,1.971184290855335,1.2288157091446652
25,14.7,1.174260996920569,15.874260996920569,13.52573900307943,5.5,1.984663419547226,7.484663419547226,3.5153365804527743
26,15.4,1.2400716825158846,16.640071682515885,14.159928317484116,4.4,1.3349989596333858,5.734998959633386,3.0650010403666146
27,16.3,1.274100990241093,17.574100990241092,15.025899009758907,4.1,1.662995957768856,5.762995957768855,2.437004042231144
28,16.8,1.3063945294843615,18.106394529484362,15.49360547051564,2.7,0.9780933834080806,3.678093383408081,1.7219066165919195
29,17.7,1.3337499349161703,19.03374993491617,16.36625006508383,3.3,1.0440306508910548,4.344030650891055,2.2559693491089448
30,18.4,1.2927146286443543,19.692714628644353,17.107285371355644,4.7,1.520599297060939,6.220599297060939,3.179400702939061
31,19.3,1.3253930234714026,20.625393023471403,17.974606976528598,3.8,1.0088497300281036,4.808849730028103,2.7911502699718964
