episode,mean,stderr,upper,lower
0,0.0,0.0,0.0,0.0
1,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
2,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
3,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
4,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
5,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
6,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
7,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
8,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
9,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
10,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
11,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
12,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
13,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
14,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
15,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
16,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
17,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
18,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
19,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
20,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
21,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
22,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
23,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
24,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
25,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
26,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
27,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
28,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
29,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
30,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
31,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
32,0.2,0.20000000000000004,0.4,-2.7755575615628914e-17
