episode,mean_done,stderr_done,upper_done,lower_done,mean_col,stderr_col,upper_col,lower_col
0,0.5555555555555556,0.17568209223157663,0.7312376477871322,0.379873463323979,1.4444444444444444,0.5800170282728083,2.0244614727172525,0.8644274161716361
1,1.2222222222222223,0.2777777777777778,1.5,0.9444444444444445,2.888888888888889,0.7895928001973275,3.678481689086216,2.0992960886915615
2,1.4444444444444444,0.2421610524189263,1.6866054968633708,1.202283392025518,3.6666666666666665,1.2909944487358056,4.957661115402472,2.3756722179308607
3,2.0,0.37267799624996495,2.372677996249965,1.627322003750035,3.0,1.1426091000668406,4.14260910006684,1.8573908999331594
4,2.4444444444444446,0.3379312516832344,2.782375696127679,2.10651319276121,2.2222222222222223,0.4937885787397549,2.7160108009619774,1.7284336434824674
5,2.6666666666666665,0.3333333333333333,3.0,2.333333333333333,2.0,0.8333333333333334,2.8333333333333335,1.1666666666666665
6,3.0,0.40824829046386296,3.408248290463863,2.591751709536137,1.6666666666666667,0.47140452079103173,2.1380711874576983,1.195262145875635
7,3.5555555555555554,0.37679611017362596,3.9323516657291813,3.1787594453819294,2.6666666666666665,0.7071067811865475,3.373773447853214,1.959559885480119
8,4.111111111111111,0.35136418446315326,4.462475295574264,3.7597469266479573,4.777777777777778,1.1876421292462196,5.965419907023997,3.5901356485315583
9,4.666666666666667,0.28867513459481287,4.95534180126148,4.377991532071854,3.4444444444444446,0.9590375834240038,4.403482027868448,2.485406861020441
10,5.222222222222222,0.32394177193585005,5.546163994158072,4.898280450286372,4.555555555555555,1.1317527104146312,5.687308265970186,3.423802845140924
11,5.888888888888889,0.35136418446315326,6.240253073352043,5.537524704425736,3.0,0.8164965809277259,3.816496580927726,2.183503419072274
12,6.444444444444445,0.33793125168323446,6.782375696127679,6.10651319276121,2.7777777777777777,0.9395296958493202,3.717307473627098,1.8382480819284575
13,6.777777777777778,0.32394177193585005,7.101719549713628,6.453836005841928,0.5555555555555556,0.4444444444444445,1.0,0.1111111111111111
14,7.222222222222222,0.32394177193585005,7.546163994158072,6.898280450286372,5.333333333333333,1.3333333333333333,6.666666666666666,4.0
15,7.777777777777778,0.4006168083848877,8.178394586162666,7.37716096939289,3.6666666666666665,1.1547005383792515,4.821367205045918,2.511966128287415
16,8.666666666666666,0.40824829046386296,9.07491495713053,8.258418376202803,3.2222222222222223,0.6186404847588912,3.8408627069811137,2.603581737463331
17,9.333333333333334,0.49999999999999994,9.833333333333334,8.833333333333334,3.2222222222222223,1.5071844406945043,4.729406662916727,1.715037781527718
18,10.11111111111111,0.538631095268481,10.649742206379592,9.572480015842629,4.444444444444445,1.3855515459266583,5.829995990371103,3.0588928985177866
19,10.444444444444445,0.4444444444444445,10.88888888888889,10.0,1.3333333333333333,0.6454972243679028,1.9788305577012362,0.6878361089654305
20,11.0,0.5270462766947299,11.52704627669473,10.47295372330527,2.3333333333333335,0.8660254037844387,3.1993587371177723,1.4673079295488947
21,11.555555555555555,0.5800170282728084,12.135572583828363,10.975538527282747,3.0,1.7159383568311668,4.715938356831167,1.2840616431688332
22,12.11111111111111,0.5638273091717899,12.674938420282901,11.54728380193932,4.111111111111111,1.2069756101333573,5.318086721244468,2.9041355009777536
23,12.88888888888889,0.5386310952684811,13.427519984157371,12.350257793620408,1.1111111111111112,0.3513641844631532,1.4624752955742644,0.759746926647958
24,13.666666666666666,0.5270462766947299,14.193712943361396,13.139620389971936,3.4444444444444446,0.9875771574795099,4.432021601923955,2.456867286964935
25,14.444444444444445,0.4746668747398628,14.919111319184307,13.969777569704583,4.666666666666667,1.8333333333333333,6.5,2.833333333333334
26,14.88888888888889,0.5121969142940493,15.401085803182939,14.37669197459484,1.5555555555555556,0.6034878050666787,2.1590433606222343,0.9520677504888769
27,15.777777777777779,0.5211573066470477,16.298935084424826,15.25662047113073,4.666666666666667,1.0801234497346435,5.746790116401311,3.5865432169320233
28,16.333333333333332,0.5270462766947299,16.860379610028062,15.806287056638602,4.777777777777778,2.504317259907699,7.282095037685476,2.273460517870079
29,17.11111111111111,0.5121969142940493,17.62330802540516,16.598914196817063,3.4444444444444446,1.4917468424552836,4.936191286899728,1.952697601989161
30,17.444444444444443,0.5800170282728083,18.024461472717253,16.864427416171633,1.1111111111111112,0.4547418206595805,1.5658529317706917,0.6563692904515306
31,18.11111111111111,0.6334307917217433,18.744541902832854,17.477680319389368,6.111111111111111,1.7033010796395436,7.814412190750654,4.407810031471567
32,18.88888888888889,0.5879447357921311,19.47683362468102,18.300944153096758,2.111111111111111,0.8240220541217403,2.9351331652328514,1.287089056989371
33,19.333333333333332,0.6009252125773316,19.934258545910662,18.732408120756002,3.7777777777777777,1.4698618394803278,5.2476396172581055,2.30791593829745
34,20.0,0.5527707983925666,20.552770798392565,19.447229201607435,3.5555555555555554,1.4635488747021654,5.019104430257721,2.09200668085339
35,20.555555555555557,0.5800170282728083,21.135572583828367,19.975538527282747,2.4444444444444446,0.7657804862272345,3.210224930671679,1.6786639582172103
36,21.333333333333332,0.5270462766947299,21.860379610028062,20.806287056638602,4.333333333333333,1.1055415967851332,5.438874930118466,3.2277917365482
37,22.0,0.5527707983925666,22.552770798392565,21.447229201607435,2.2222222222222223,0.7027283689263064,2.9249505911485287,1.519493853295916
38,22.88888888888889,0.5638273091717899,23.452716198060678,22.3250615797171,3.4444444444444446,1.6168480234283609,5.061292467872805,1.8275964210160838
39,23.555555555555557,0.6034878050666787,24.159043360622235,22.95206775048888,2.5555555555555554,1.2260042494841061,3.7815598050396613,1.3295513060714492
