episode,total_done,total_col,step
0,0,6,500
1,0,7,500
2,0,0,500
3,1,1,435
4,1,0,500
5,1,0,500
6,1,1,500
7,1,0,500
8,1,0,500
9,1,6,500
10,1,0,500
11,1,0,500
12,1,1,500
13,1,0,500
14,2,0,484
15,2,9,500
16,2,3,500
17,2,1,500
18,2,16,500
19,2,3,500
20,2,11,500
21,3,2,417
22,4,0,455
23,4,6,500
24,4,15,500
25,5,0,296
26,5,4,500
27,6,0,354
28,7,2,484
29,7,0,500
30,7,13,500
31,8,12,338
32,9,3,409
33,10,1,104
34,11,15,378
35,12,13,338
36,13,0,225
37,14,0,337
38,15,0,329
39,15,9,500
40,16,0,410
41,17,1,172
42,18,16,279
43,19,13,304
44,20,2,204
45,21,0,241
46,22,0,281
47,23,4,283
48,24,12,315
49,25,4,197
50,26,1,348
51,27,0,249
52,28,0,151
53,29,0,180
54,30,2,236
55,31,1,332
56,32,2,183
57,33,2,123
58,34,0,203
59,35,0,298
60,36,0,193
61,37,3,91
62,38,0,223
63,39,12,204
64,40,11,285
65,41,1,190
66,42,2,138
67,43,0,143
68,44,9,240
69,45,2,318
70,46,0,158
71,47,1,145
72,48,0,165
73,49,1,164
74,50,0,76
75,51,1,113
76,52,0,93
77,53,0,107
78,54,0,87
79,55,0,69
80,56,0,134
81,57,0,84
82,58,0,70
83,59,0,227
84,60,1,119
85,61,0,121
86,62,0,102
87,63,0,120
88,64,2,124
89,65,3,123
90,66,0,81
91,67,0,181
92,68,1,113
93,69,0,220
94,70,0,105
95,71,5,144
96,72,0,89
97,73,0,95
98,74,0,161
99,75,0,61
100,76,2,98
101,77,0,65
102,78,0,90
103,79,0,104
104,80,0,81
105,81,1,75
106,82,0,70
107,83,9,105
108,84,1,87
109,85,0,61
110,86,0,107
111,87,0,70
112,88,0,44
113,89,0,136
114,90,0,101
115,91,1,71
116,92,0,66
117,93,13,104
118,94,0,70
119,95,0,80
120,96,12,159
121,97,0,74
122,98,0,129
123,99,0,81
124,100,0,109
125,101,0,57
126,102,1,76
127,103,4,73
128,104,0,118
129,105,0,79
130,106,6,55
131,107,0,72
132,108,0,44
133,109,0,227
134,110,0,81
135,111,0,89
136,112,0,54
137,113,0,70
138,114,0,48
139,115,4,89
140,116,0,60
141,117,0,68
142,118,0,65
143,119,2,98
144,120,7,69
145,121,0,51
146,122,8,103
147,123,1,56
148,124,1,129
149,125,0,98
150,126,6,176
151,127,0,106
152,128,0,90
153,129,0,176
154,130,0,159
155,131,0,68
156,132,0,55
157,133,0,68
158,134,0,87
159,135,1,91
160,136,0,75
161,137,0,76
162,138,22,106
163,139,0,75
164,140,0,86
165,141,28,249
166,142,0,85
167,143,0,101
168,144,0,76
169,145,0,61
170,146,0,51
171,147,0,108
172,148,0,35
173,149,0,55
174,150,0,48
175,150,0,500
176,151,0,129
177,152,0,50
178,152,0,500
179,153,0,31
180,154,0,144
181,155,2,194
182,156,0,439
183,156,0,500
184,157,0,200
185,158,1,66
186,159,0,42
187,160,0,261
188,161,3,99
189,162,0,85
190,163,1,98
191,164,0,102
192,165,0,347
193,165,0,500
194,166,0,199
195,167,3,81
196,167,0,500
197,168,0,47
198,169,0,54
199,170,0,485
200,171,4,272
201,172,0,69
202,173,1,192
203,174,0,196
204,175,0,92
205,176,0,33
206,177,0,381
207,178,0,204
208,178,0,500
209,179,0,165
210,180,0,84
211,181,0,145
212,182,0,411
213,183,0,148
214,183,0,500
215,184,0,100
216,184,0,500
217,185,0,338
218,186,0,261
219,187,0,90
220,188,0,29
221,188,0,500
222,189,0,187
223,190,0,73
224,191,0,302
225,192,0,328
226,193,0,166
227,193,0,500
228,193,0,500
229,194,0,46
230,195,0,112
231,196,0,203
232,197,0,71
233,198,0,495
234,199,0,76
235,200,0,192
236,200,1,500
237,200,0,500
238,201,0,424
239,202,0,335
240,202,0,500
241,202,0,500
242,202,0,500
243,203,0,407
244,203,0,500
245,204,0,137
246,204,0,500
247,205,0,132
248,206,0,150
249,206,0,500
250,207,0,473
251,207,0,500
252,207,0,500
253,208,0,74
254,209,0,392
255,210,0,113
256,211,0,192
257,211,0,500
258,211,0,500
259,212,0,32
260,213,0,89
261,214,0,337
262,215,0,43
263,216,0,52
264,217,0,34
265,218,0,259
266,219,0,95
267,219,0,500
268,220,0,46
269,220,0,500
270,221,0,322
271,222,0,141
272,222,0,500
273,222,0,500
274,223,0,196
275,224,0,162
276,225,0,58
277,225,0,500
278,225,0,500
279,225,0,500
280,225,0,500
281,226,0,362
282,226,0,500
283,226,0,500
284,226,0,500
285,226,0,500
286,227,0,88
287,227,0,500
288,228,0,266
289,228,0,500
290,229,0,107
291,229,0,500
292,229,0,500
293,229,0,500
294,229,0,500
295,229,0,500
296,230,0,345
297,230,0,500
298,230,0,500
299,231,0,239
