episode,total_done,total_col,step
0,0,0,500
1,0,0,500
2,0,1,500
3,0,0,500
4,0,6,500
5,0,0,500
6,0,0,500
7,0,8,500
8,0,0,500
9,0,0,500
10,0,3,500
11,0,0,500
12,0,7,500
13,0,0,500
14,0,4,500
15,0,13,500
16,0,2,500
17,0,0,500
18,0,15,500
19,0,0,500
20,0,13,500
21,0,0,500
22,0,1,500
23,0,8,500
24,0,2,500
25,0,0,500
26,0,1,500
27,0,3,500
28,1,5,349
29,1,6,500
30,1,11,500
31,2,4,206
32,3,2,328
33,3,4,500
34,4,10,364
35,5,0,423
36,6,1,460
37,6,1,500
38,6,3,500
39,7,0,370
40,7,3,500
41,7,2,500
42,8,0,185
43,9,1,259
44,10,8,296
45,11,20,395
46,12,0,200
47,13,3,423
48,14,0,161
49,15,8,254
50,16,4,300
51,17,0,258
52,18,0,394
53,19,0,152
54,20,0,225
55,21,0,189
56,22,0,177
57,23,0,190
58,24,4,248
59,25,0,168
60,26,0,82
61,27,6,330
62,28,0,136
63,29,0,218
64,30,0,196
65,31,0,134
66,32,2,223
67,33,0,142
68,34,0,136
69,35,0,268
70,36,0,185
71,37,1,164
72,38,0,87
73,39,1,156
74,40,0,172
75,41,10,411
76,42,15,217
77,43,0,200
78,44,2,148
79,45,0,83
80,46,0,97
81,47,0,89
82,48,0,121
83,49,0,71
84,50,0,77
85,51,0,60
86,52,0,101
87,53,0,168
88,54,0,169
89,55,0,138
90,56,0,128
91,57,0,84
92,58,7,146
93,59,0,114
94,60,1,78
95,61,7,159
96,62,0,73
97,63,0,105
98,64,6,199
99,65,12,128
100,66,0,45
101,67,2,115
102,68,0,113
103,69,6,150
104,70,0,115
105,71,0,67
106,72,4,96
107,73,0,129
108,74,1,90
109,75,0,51
110,76,2,97
111,77,15,196
112,78,3,278
113,79,0,62
114,80,2,104
115,81,5,127
116,82,1,78
117,83,0,55
118,84,5,127
119,85,0,62
120,86,10,139
121,87,0,118
122,88,0,39
123,89,0,90
124,90,0,144
125,91,0,42
126,92,3,65
127,93,69,231
128,94,0,36
129,95,11,167
130,96,0,116
131,97,8,91
132,98,22,105
133,99,0,107
134,100,0,87
135,101,11,142
136,102,3,85
137,103,0,53
138,104,29,167
139,105,8,104
140,106,0,121
141,107,0,116
142,108,0,57
143,109,5,123
144,110,0,91
145,111,0,312
146,112,1,75
147,113,0,216
148,114,4,111
149,115,5,89
150,116,0,129
151,117,0,145
152,118,2,54
153,119,8,74
154,120,4,88
155,121,0,108
156,122,0,163
157,123,0,97
158,124,0,95
159,125,0,133
160,126,0,73
161,127,2,153
162,128,2,87
163,129,7,107
164,129,3,500
165,130,0,111
166,131,0,211
167,132,0,83
168,133,3,103
169,134,0,60
170,135,0,87
171,136,0,186
172,137,0,137
173,138,0,125
174,139,1,121
175,140,0,49
176,141,0,86
177,142,1,167
178,143,0,112
179,144,7,106
180,145,0,137
181,146,0,76
182,147,0,73
183,148,0,154
184,149,0,344
185,150,0,62
186,151,0,170
187,152,0,61
188,153,0,66
189,154,0,320
190,155,1,112
191,156,0,65
192,157,0,86
193,158,0,100
194,159,1,487
195,160,0,283
196,161,0,260
197,162,0,65
198,163,0,251
199,164,0,104
200,165,0,47
201,166,0,78
202,166,0,500
203,167,0,67
204,168,1,78
205,169,1,141
206,170,0,112
207,171,0,72
208,172,0,154
209,173,0,49
210,174,0,29
211,175,0,117
212,176,0,106
213,176,1,500
214,176,0,500
215,177,0,60
216,178,0,200
217,179,0,81
218,180,0,342
219,181,0,306
220,181,0,500
221,181,0,500
222,182,0,229
223,182,0,500
224,182,0,500
225,183,0,235
226,183,0,500
227,183,0,500
228,184,0,251
229,185,0,130
230,186,0,251
231,187,0,52
232,188,0,75
233,189,0,264
234,189,0,500
235,190,0,89
236,191,0,382
237,192,0,201
238,193,0,101
239,194,0,47
240,195,0,349
241,196,0,460
242,196,0,500
243,197,0,218
244,197,0,500
245,198,0,130
246,198,0,500
247,198,0,500
248,199,0,329
249,200,0,173
250,200,0,500
251,200,0,500
252,200,0,500
253,200,0,500
254,201,0,258
255,201,0,500
256,201,0,500
257,201,0,500
258,201,0,500
259,201,0,500
260,201,0,500
261,201,0,500
262,202,0,123
263,203,0,427
264,204,0,151
265,205,0,238
266,206,0,168
267,207,0,278
268,207,0,500
269,207,0,500
270,207,0,500
271,207,0,500
272,207,5,500
273,208,0,51
274,208,0,500
275,208,0,500
276,208,0,500
277,208,0,500
278,208,0,500
279,208,0,500
280,208,0,500
281,208,0,500
282,209,0,449
283,209,0,500
284,209,0,500
285,210,0,319
286,210,0,500
287,210,0,500
288,211,0,470
289,211,0,500
290,211,0,500
291,211,0,500
292,211,0,500
293,211,0,500
294,211,0,500
295,212,0,82
296,212,0,500
297,213,0,398
298,213,0,500
299,213,0,500
