Agent 0,Agent 1
9,6
1,1
1,1
1,74
2,39
0,0
0,97
0,0
0,0
0,97
0,0
3,0
0,1
0,85
3,0
4,0
0,89
99,0
99,0
0,36
0,0
1,4
1,16
94,0
94,0
0,0
0,0
2,0
4,0
2,73
0,0
2,53
7,0
4,0
5,0
7,1
16,0
5,4
4,2
12,4
1,35
1,68
1,83
2,75
1,91
5,92
5,1
5,87
6,92
7,90
7,74
7,66
6,93
5,94
5,93
5,86
5,91
6,92
6,92
6,92
6,92
6,92
7,91
8,88
8,79
9,89
12,78
16,69
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
39,0
60,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
99,0
1,69
1,81
1,43
1,72
4,63
0,0
3,76
7,0
13,0
1,0
12,0
18,0
99,0
23,0
22,0
99,0
20,0
18,0
17,0
99,0
20,0
17,0
19,0
15,0
17,0
27,3
28,0
40,2
24,1
20,0
22,4
23,2
20,0
24,5
21,8
20,1
17,32
19,69
17,64
25,0
22,0
18,28
20,15
18,22
16,0
17,2
15,0
17,9
20,2
16,0
16,10
18,0
18,0
20,0
21,0
18,0
23,0
18,2
16,10
17,0
16,11
16,14
16,0
16,13
17,0
17,0
19,15
22,13
15,0
24,0
18,9
17,8
21,12
19,12
22,14
21,0
23,12
16,2
23,3
26,3
23,0
22,1
25,0
19,13
15,12
17,0
19,0
18,0
21,1
23,0
14,14
15,25
17,29
14,40
14,0
14,3
16,5
14,5
17,7
14,7
15,7
20,0
16,6
22,0
16,4
22,10
22,8
17,5
92,17
15,26
19,0
22,41
17,61
16,50
15,25
17,75
16,74
20,0
16,0
16,75
15,80
16,79
12,0
16,68
16,80
16,0
15,80
17,0
16,0
16,0
15,0
15,0
16,49
16,63
15,78
15,0
18,0
15,70
11,0
12,0
13,54
21,36
47,81
20,2
19,68
16,64
11,20
16,24
16,0
13,40
15,25
