episode,total_done,total_col,step
0,1,3,221
1,1,0,300
2,1,4,300
3,2,5,167
4,3,11,260
5,3,5,300
6,3,2,300
7,3,6,300
8,3,1,300
9,3,12,300
10,3,8,300
11,4,0,155
12,4,1,300
13,4,2,300
14,5,8,264
15,6,3,225
16,6,1,300
17,6,11,300
18,6,1,300
19,6,6,300
20,7,0,186
21,7,5,300
22,7,1,300
23,7,7,300
24,7,0,300
25,7,3,300
26,7,0,300
27,7,0,300
28,7,2,300
29,7,3,300
30,7,3,300
31,8,2,234
32,8,6,300
33,8,0,300
34,8,1,300
35,8,0,300
36,9,1,296
37,10,8,146
38,11,0,277
39,11,2,300
40,11,0,300
41,11,0,300
42,12,6,232
43,13,7,239
44,13,0,300
45,14,4,215
46,14,0,300
47,14,2,300
48,15,3,65
49,16,2,220
50,16,15,300
51,17,0,120
52,18,10,221
53,19,2,107
54,20,4,296
55,20,0,300
56,20,0,300
57,20,0,300
58,20,2,300
59,20,1,300
60,20,0,300
61,21,3,238
62,21,2,300
63,21,8,300
64,21,0,300
65,21,1,300
66,21,0,300
67,21,11,300
68,21,3,300
69,21,0,300
70,21,0,300
71,21,0,300
72,22,1,123
73,23,1,172
74,23,2,300
75,23,4,300
76,24,4,197
77,25,4,273
78,25,0,300
79,25,0,300
80,25,0,300
81,25,7,300
82,25,1,300
83,25,1,300
84,25,7,300
85,25,2,300
86,25,2,300
87,25,0,300
88,25,1,300
89,25,11,300
90,25,1,300
91,26,1,276
92,26,0,300
93,27,1,149
94,28,0,69
95,29,4,206
96,29,0,300
97,29,0,300
98,30,1,211
99,30,1,300
100,31,2,140
101,31,2,300
102,31,3,300
103,31,1,300
104,31,1,300
105,32,4,260
106,32,0,300
107,32,0,300
108,32,11,300
109,32,1,300
110,33,9,268
111,33,1,300
112,33,4,300
113,34,0,86
114,35,5,217
115,35,8,300
116,36,0,163
117,36,3,300
118,36,7,300
119,37,1,157
120,37,5,300
121,38,0,67
122,38,1,300
123,38,1,300
124,38,0,300
125,38,4,300
126,38,0,300
127,38,0,300
128,39,4,129
129,39,0,300
130,39,3,300
131,39,1,300
132,39,0,300
133,39,1,300
134,39,1,300
135,40,6,200
136,41,4,151
137,41,7,300
138,41,6,300
139,41,2,300
140,41,3,300
141,41,1,300
142,41,0,300
143,41,0,300
144,41,2,300
145,42,0,212
146,42,4,300
147,42,1,300
148,43,1,289
149,44,7,278
150,44,8,300
151,44,4,300
152,44,0,300
153,45,2,282
154,45,0,300
155,45,0,300
156,46,0,97
157,46,5,300
158,47,4,177
159,47,4,300
160,47,3,300
161,47,2,300
162,47,5,300
163,48,8,215
164,48,1,300
165,49,14,279
166,50,2,226
167,51,0,159
168,52,1,94
169,52,0,300
170,52,0,300
171,53,0,234
172,54,3,276
173,54,0,300
174,54,0,300
175,55,0,139
176,55,9,300
177,56,1,200
178,56,6,300
179,56,2,300
180,56,1,300
181,56,4,300
182,56,5,300
183,57,6,230
184,57,4,300
185,58,3,145
186,58,1,300
187,58,0,300
188,58,6,300
189,58,0,300
190,58,1,300
191,59,9,216
192,59,0,300
193,59,1,300
194,59,15,300
195,59,0,300
196,59,0,300
197,60,4,110
198,60,9,300
199,60,7,300
