episode,total_done,total_col
0,0,9
1,1,3
2,2,0
3,3,3
4,3,2
5,3,3
6,3,0
7,4,5
8,4,10
9,5,0
10,6,1
11,6,0
12,7,4
13,8,4
14,8,6
15,8,4
16,8,4
17,8,5
18,8,7
19,8,5
20,9,1
21,9,4
22,9,0
23,9,5
24,9,10
25,9,6
26,10,0
27,11,6
28,11,0
29,11,7
30,11,0
31,12,2
32,13,0
33,14,6
34,14,0
35,14,2
36,14,0
37,14,4
38,15,1
39,15,4
40,16,1
41,16,1
42,16,6
43,16,10
44,17,0
45,17,6
46,18,18
47,18,5
48,18,3
49,19,0
50,20,1
51,21,0
52,21,1
53,22,0
54,22,2
55,22,4
56,22,0
57,23,0
58,23,6
59,23,0
60,24,2
61,25,0
62,26,1
63,27,0
64,28,6
65,28,7
66,28,3
67,28,4
68,29,0
69,30,0
70,31,0
71,31,2
72,32,1
73,32,5
74,33,0
75,33,1
76,34,1
77,34,0
78,34,3
79,35,0
80,36,5
81,36,1
82,37,1
83,38,0
84,39,0
85,39,6
86,39,1
87,39,2
88,40,1
89,40,0
90,41,0
91,41,0
92,42,1
93,42,1
94,43,0
95,43,4
96,44,0
97,45,0
98,46,13
