episode,total_done,total_col
0,0,1
1,1,5
2,1,3
3,1,1
4,2,2
5,2,1
6,2,0
7,3,0
8,4,2
9,4,0
10,5,1
11,5,9
12,5,2
13,5,1
14,5,1
15,6,5
16,7,0
17,7,13
18,7,0
19,7,13
20,8,4
21,8,0
22,8,4
23,8,3
24,8,5
25,8,9
26,8,0
27,8,0
28,8,10
29,8,1
30,8,1
31,9,0
32,10,3
33,10,0
34,10,5
35,10,5
36,11,0
37,12,3
38,12,2
39,12,4
40,12,6
41,12,3
42,12,5
43,12,6
44,13,1
45,13,9
46,14,7
47,15,0
48,15,9
49,15,3
50,15,0
51,15,4
52,15,0
53,15,0
54,16,0
55,16,0
56,16,0
57,16,6
58,16,14
59,16,2
60,16,4
61,16,11
62,16,0
63,16,16
64,16,5
65,16,0
66,16,1
67,16,8
68,17,3
69,17,2
70,18,9
71,18,0
72,19,4
73,20,3
74,21,7
75,21,5
76,21,2
77,21,2
78,21,3
79,21,5
80,21,3
81,21,0
82,21,0
83,22,1
84,22,0
85,22,2
86,23,0
87,24,0
88,24,2
89,24,4
90,25,6
91,26,0
92,27,0
93,28,3
94,28,1
95,29,1
96,29,6
97,29,0
98,30,2
99,30,0
100,31,1
101,31,3
102,31,3
103,31,1
104,31,13
105,32,0
106,33,2
107,33,1
108,33,5
109,34,6
110,35,3
111,36,4
112,37,1
113,37,0
114,37,14
115,38,4
116,38,1
117,39,2
118,39,1
119,39,1
120,39,0
121,39,8
122,40,1
123,40,3
124,41,1
125,41,7
126,41,3
127,41,2
128,41,1
129,41,2
130,42,6
131,42,0
132,43,1
133,44,0
134,45,4
135,45,4
136,46,6
137,46,1
138,47,0
139,48,0
140,49,4
141,50,0
142,51,0
143,52,1
144,53,1
145,54,0
146,55,0
147,56,2
148,57,0
149,58,0
150,59,0
151,60,1
152,60,4
153,60,7
154,60,0
155,61,0
156,62,0
157,63,3
158,64,2
159,65,0
160,65,0
161,66,2
162,67,2
163,68,0
164,68,3
165,68,1
166,68,1
167,68,6
168,69,0
169,70,0
170,71,2
171,72,1
172,73,1
173,74,0
174,75,0
175,76,0
176,76,0
177,77,0
178,78,13
179,79,0
180,80,2
181,81,3
182,81,3
183,82,3
184,82,3
185,82,2
186,82,6
187,83,0
188,83,0
189,84,0
190,84,0
191,84,2
192,85,0
193,86,0
194,87,0
195,87,0
196,87,1
197,87,0
198,88,2
199,89,4
