episode,total_done,total_col
0,1,1
1,1,0
2,1,1
3,1,0
4,2,4
5,3,1
6,3,3
7,3,8
8,4,6
9,4,4
10,4,4
11,5,0
12,5,1
13,5,19
14,5,8
15,6,9
16,7,1
17,7,4
18,7,11
19,7,3
20,7,2
21,8,7
22,9,1
23,9,4
24,10,13
25,10,0
26,11,1
27,11,1
28,12,14
29,12,2
30,13,0
31,14,2
32,14,7
33,15,1
34,16,1
35,17,7
36,17,10
37,17,3
38,17,13
39,18,1
40,18,1
41,19,10
42,19,2
43,19,9
44,19,1
45,20,12
46,20,0
47,20,3
48,20,0
49,21,0
50,21,10
51,21,2
52,22,7
53,23,1
54,23,0
55,24,1
56,25,1
57,25,1
58,25,0
59,25,4
60,25,3
61,26,4
62,27,5
63,28,2
64,28,13
65,28,0
66,29,2
67,30,2
68,31,0
69,32,3
70,32,6
71,33,0
72,33,3
73,33,7
74,34,19
75,34,0
76,34,7
77,34,3
78,34,6
79,34,4
80,35,1
81,36,1
82,36,2
83,36,3
84,37,8
85,37,7
86,38,5
87,39,1
88,39,5
89,39,1
90,39,4
91,39,4
92,39,3
93,40,2
94,41,4
95,41,8
96,42,4
97,43,1
98,43,3
99,43,10
100,43,1
101,43,2
102,43,20
103,43,3
104,43,1
105,43,5
106,43,5
107,44,9
108,45,1
109,45,2
110,45,6
111,45,5
112,45,2
113,45,0
114,45,5
115,46,0
116,46,7
117,46,4
118,46,0
119,46,3
120,47,0
121,48,0
122,48,1
123,49,0
124,50,2
125,50,14
126,51,4
127,51,1
128,52,3
129,53,0
130,54,0
131,55,0
132,56,2
133,57,0
134,58,4
135,59,0
136,60,0
137,61,4
138,62,3
139,63,1
140,64,4
141,65,4
142,66,0
143,67,3
144,68,0
145,69,0
146,70,3
147,71,2
148,72,6
149,73,6
150,74,0
151,75,1
152,76,3
153,77,4
154,78,9
155,79,8
156,80,0
157,80,1
158,81,3
159,81,0
160,82,0
161,83,1
162,84,1
163,85,1
164,86,0
165,87,0
166,88,0
167,89,4
168,90,10
169,91,19
170,92,3
171,93,0
172,94,4
173,95,4
174,95,1
175,96,0
176,97,4
177,98,0
178,99,0
179,100,0
180,101,0
181,102,2
182,102,14
183,102,0
184,103,0
185,104,1
186,105,8
187,106,10
188,107,0
189,108,1
190,109,0
191,110,4
192,111,0
193,112,6
194,113,3
195,114,3
196,114,3
197,115,3
198,116,2
199,117,1
